latitude,longitude,velocity,time,voltage,current
4744.23193359,1143.12939453,0.00000000,2953.00000000,16.32799911,-84.50000000
4744.23193359,1143.12939453,0.00000000,3155.00000000,16.32799911,-31.20000076
4744.23193359,1143.12939453,0.00000000,3356.00000000,16.32799911,-56.00000000
4744.23193359,1143.12939453,0.00000000,3557.00000000,16.32399940,-46.79999924
4744.23193359,1143.12939453,0.00000000,3759.00000000,16.32799911,-48.79999924
4744.23193359,1143.12939453,0.00000000,3960.00000000,16.32799911,-50.09999847
4744.23193359,1143.12939453,0.00000000,4161.00000000,16.32399940,-52.00000000
4744.23193359,1143.12939453,0.00000000,4363.00000000,16.32399940,-52.59999847
4744.23193359,1143.12939453,0.00000000,4564.00000000,16.32799911,-53.29999924
4744.23193359,1143.12939453,0.00000000,4766.00000000,16.32399940,-52.20000076
4744.23291016,1143.12792969,0.25500000,4968.00000000,16.32799911,-50.40000153
4744.23291016,1143.12792969,0.25500000,5169.00000000,16.32799911,-51.29999924
4744.23291016,1143.12792969,0.25500000,5370.00000000,16.32799911,-85.09999847
4744.23291016,1143.12731934,0.04900000,5572.00000000,16.32799911,-55.09999847
4744.23291016,1143.12731934,0.04900000,5773.00000000,16.32399940,-54.50000000
4744.23291016,1143.12731934,0.04900000,5975.00000000,16.32399940,-77.69999695
4744.23291016,1143.12731934,0.04900000,6176.00000000,16.32799911,-56.20000076
4744.23291016,1143.12731934,0.04900000,6377.00000000,16.32399940,-53.70000076
4744.23291016,1143.12707520,0.09600000,6578.00000000,16.32399940,-65.09999847
4744.23291016,1143.12707520,0.09600000,6779.00000000,16.31999969,-77.69999695
4744.23291016,1143.12707520,0.09600000,6980.00000000,16.31599998,-78.90000153
4744.23291016,1143.12707520,0.09600000,7182.00000000,16.30800056,-114.30000305
4744.23291016,1143.12707520,0.09600000,7383.00000000,16.31999969,-75.69999695
4744.23291016,1143.12756348,0.07000000,7585.00000000,16.32399940,-73.69999695
4744.23291016,1143.12756348,0.07000000,7786.00000000,16.31999969,-73.80000305
4744.23291016,1143.12756348,0.07000000,7988.00000000,16.31999969,-77.80000305
4744.23291016,1143.12756348,0.07000000,8190.00000000,16.31999969,-66.80000305
4744.23291016,1143.12756348,0.07000000,8391.00000000,16.31999969,-69.69999695
4744.23291016,1143.12756348,0.07000000,8592.00000000,16.31999969,-70.09999847
4744.23291016,1143.12756348,0.07000000,8793.00000000,16.31599998,-58.79999924
4744.23291016,1143.12756348,0.07000000,8995.00000000,16.31599998,-65.80000305
4744.23291016,1143.12756348,0.07000000,9196.00000000,16.31999969,-83.50000000
4744.23291016,1143.12756348,0.07000000,9398.00000000,16.31599998,-55.40000153
4744.23291016,1143.12756348,0.07000000,9600.00000000,16.31599998,-54.50000000
4744.23291016,1143.12756348,0.07000000,9801.00000000,16.31999969,-56.59999847
4744.23291016,1143.12756348,0.07000000,10003.00000000,16.31999969,-55.40000153
4744.23291016,1143.12756348,0.07000000,10204.00000000,16.31599998,-53.59999847
4744.23291016,1143.12756348,0.07000000,10405.00000000,16.31999969,-56.00000000
4744.23339844,1143.12731934,0.10400000,10606.00000000,16.31999969,-81.09999847
4744.23339844,1143.12731934,0.10400000,10807.00000000,16.31999969,-85.80000305
4744.23339844,1143.12731934,0.10400000,11008.00000000,16.31999969,-52.90000153
4744.23339844,1143.12731934,0.10400000,11210.00000000,16.31599998,-83.19999695
4744.23339844,1143.12731934,0.10400000,11411.00000000,16.31599998,-85.00000000
4744.23339844,1143.12731934,0.15099999,11612.00000000,16.31599998,-82.69999695
4744.23339844,1143.12731934,0.15099999,11813.00000000,16.31999969,-72.40000153
4744.23339844,1143.12731934,0.15099999,12015.00000000,16.31999969,-51.79999924
4744.23339844,1143.12731934,0.15099999,12216.00000000,16.31999969,-76.40000153
4744.23339844,1143.12731934,0.15099999,12417.00000000,16.31599998,-54.90000153
4744.23339844,1143.12695312,0.03600000,12618.00000000,16.31999969,-64.00000000
4744.23339844,1143.12695312,0.03600000,12819.00000000,16.31999969,-76.69999695
4744.23339844,1143.12695312,0.03600000,13020.00000000,16.31999969,-73.69999695
4744.23339844,1143.12695312,0.03600000,13222.00000000,16.31599998,-45.50000000
4744.23339844,1143.12695312,0.03600000,13424.00000000,16.31999969,-41.20000076
4744.23339844,1143.12695312,0.03600000,13625.00000000,16.31999969,-56.90000153
4744.23339844,1143.12695312,0.03600000,13826.00000000,16.31999969,-83.59999847
4744.23339844,1143.12695312,0.03600000,14027.00000000,16.31599998,-55.50000000
4744.23339844,1143.12695312,0.03600000,14228.00000000,16.32399940,-59.40000153
4744.23339844,1143.12695312,0.03600000,14429.00000000,16.31599998,-56.50000000
4744.23339844,1143.12695312,0.03600000,14630.00000000,16.31999969,-56.09999847
4744.23339844,1143.12670898,0.04900000,14832.00000000,16.31599998,-85.40000153
4744.23339844,1143.12670898,0.04900000,15033.00000000,16.31599998,-86.09999847
4744.23339844,1143.12670898,0.04900000,15235.00000000,16.31999969,-56.70000076
4744.23339844,1143.12670898,0.04900000,15436.00000000,16.31599998,-65.59999847
4744.23291016,1143.12670898,0.10700000,15637.00000000,16.31599998,-85.30000305
4744.23291016,1143.12670898,0.10700000,15838.00000000,16.31999969,-30.70000076
4744.23291016,1143.12670898,0.10700000,16039.00000000,16.31999969,-83.69999695
4744.23291016,1143.12670898,0.10700000,16241.00000000,16.31999969,-56.70000076
4744.23291016,1143.12670898,0.10700000,16442.00000000,16.31999969,-56.20000076
4744.23291016,1143.12658691,0.10300000,16643.00000000,16.32399940,-58.29999924
