0.00000000,0.00000000,0.00000000,2154.00000000,16.14399910,-107.50000000
0.00000000,0.00000000,0.00000000,2356.00000000,16.15200043,-41.59999847
0.00000000,0.00000000,0.00000000,2558.00000000,16.13999939,-251.19999695
0.00000000,0.00000000,0.00000000,2759.00000000,16.15200043,-41.50000000
0.00000000,0.00000000,0.00000000,2960.00000000,16.15200043,-52.09999847
0.00000000,0.00000000,0.00000000,3162.00000000,16.14800072,-98.30000305
0.00000000,0.00000000,0.00000000,3363.00000000,16.14800072,-95.40000153
0.00000000,0.00000000,0.00000000,3564.00000000,16.14800072,-86.50000000
0.00000000,0.00000000,0.00000000,3766.00000000,16.15200043,-33.79999924
0.00000000,0.00000000,0.00000000,3967.00000000,16.15200043,-32.79999924
0.00000000,0.00000000,0.00000000,4168.00000000,16.15600014,-31.79999924
0.00000000,0.00000000,0.00000000,4369.00000000,16.15200043,-34.00000000
0.00000000,0.00000000,0.00000000,4570.00000000,16.15200043,-32.50000000
0.00000000,0.00000000,0.00000000,4771.00000000,16.15200043,-31.60000038
0.00000000,0.00000000,0.00000000,4973.00000000,16.15200043,-34.29999924
0.00000000,0.00000000,0.00000000,5175.00000000,16.15200043,-33.20000076
0.00000000,0.00000000,0.00000000,5377.00000000,16.15200043,-33.90000153
4744.24658203,1143.13415527,0.47000000,5578.00000000,16.15600014,-44.29999924
4744.24658203,1143.13415527,0.47000000,5779.00000000,16.15600014,-33.59999847
4744.24658203,1143.13415527,0.47000000,5980.00000000,16.15200043,-37.90000153
4744.24658203,1143.13415527,0.47000000,6182.00000000,16.15200043,-39.50000000
4744.24658203,1143.13415527,0.47000000,6383.00000000,16.15200043,-39.40000153
4744.24755859,1143.12390137,1.02400005,6585.00000000,16.15200043,-37.00000000
4744.24755859,1143.12390137,1.02400005,6787.00000000,16.14800072,-40.00000000
0.00000000,0.00000000,0.00000000,2161.00000000,16.14399910,-67.30000305
0.00000000,0.00000000,0.00000000,2362.00000000,16.15200043,-57.59999847
0.00000000,0.00000000,0.00000000,2563.00000000,16.15600014,-60.09999847
0.00000000,0.00000000,0.00000000,2764.00000000,16.15200043,-33.09999847
4744.23193359,1143.12622070,0.00000000,2966.00000000,16.15200043,-33.00000000
0.00000000,0.00000000,0.00000000,2163.00000000,16.14399910,-90.19999695
0.00000000,0.00000000,0.00000000,2365.00000000,16.15200043,-82.40000153
0.00000000,0.00000000,0.00000000,2566.00000000,16.14399910,-90.69999695
0.00000000,0.00000000,0.00000000,2768.00000000,16.14800072,-99.30000305
0.00000000,0.00000000,0.00000000,2969.00000000,16.14800072,-88.00000000
4744.23583984,1143.12756348,0.34200001,3171.00000000,16.14800072,-117.59999847
4744.23583984,1143.12756348,0.34200001,3372.00000000,16.14800072,-88.19999695
4744.23583984,1143.12756348,0.34200001,3574.00000000,16.14800072,-84.59999847
4744.23583984,1143.12756348,0.34200001,3776.00000000,16.14800072,-86.80000305
4744.23583984,1143.12756348,0.34200001,3978.00000000,16.15200043,-79.40000153
4744.23583984,1143.12756348,0.34200001,4418.00000000,16.13999939,-90.30000305
4744.23583984,1143.12756348,0.34200001,4774.00000000,16.13199997,-186.30000305
4744.23583984,1143.12756348,0.34200001,4976.00000000,16.12400055,-538.90002441
4744.23583984,1143.12756348,0.34200001,5177.00000000,16.12400055,-408.10000610
4744.23486328,1143.12634277,0.38999999,5378.00000000,16.12400055,-430.79998779
4744.23486328,1143.12634277,0.38999999,5579.00000000,16.12400055,-423.60000610
4744.23486328,1143.12634277,0.38999999,5780.00000000,16.12800026,-420.70001221
4744.23486328,1143.12634277,0.38999999,5982.00000000,16.11599922,-513.40002441
4744.23486328,1143.12622070,0.18200000,6183.00000000,16.12000084,-492.29998779
4744.23486328,1143.12622070,0.18200000,6385.00000000,16.11599922,-708.20001221
4744.23486328,1143.12622070,0.18200000,6587.00000000,16.12400055,-358.20001221
4744.23486328,1143.12622070,0.18200000,6789.00000000,16.12400055,-405.20001221
4744.23486328,1143.12622070,0.18200000,6990.00000000,16.13599968,-219.89999390
4744.23583984,1143.12524414,0.33899999,7191.00000000,16.12400055,-339.50000000
4744.23583984,1143.12524414,0.33899999,7392.00000000,16.14399910,-92.00000000
4744.23583984,1143.12524414,0.33899999,7594.00000000,16.14399910,-99.90000153
4744.23583984,1143.12524414,0.33899999,7796.00000000,16.13999939,-144.30000305
4744.23583984,1143.12524414,0.33899999,7997.00000000,16.13999939,-95.59999847
4744.23535156,1143.12463379,0.21600001,8198.00000000,16.14399910,-90.19999695
4744.23535156,1143.12463379,0.21600001,8399.00000000,16.13999939,-113.69999695
4744.23535156,1143.12463379,0.21600001,8600.00000000,16.13999939,-124.30000305
4744.23535156,1143.12463379,0.21600001,8802.00000000,16.13999939,-79.69999695
4744.23535156,1143.12463379,0.21600001,9003.00000000,16.14399910,-98.30000305
4744.23535156,1143.12463379,0.21600001,9205.00000000,16.13599968,-211.69999695
4744.23535156,1143.12463379,0.21600001,9408.00000000,16.13999939,-98.30000305
4744.23535156,1143.12463379,0.21600001,9610.00000000,16.13999939,-169.89999390
4744.23535156,1143.12463379,0.21600001,9811.00000000,16.12800026,-455.89999390
4744.23535156,1143.12463379,0.21600001,10013.00000000,16.12400055,-429.70001221
4744.23535156,1143.12463379,0.21600001,10214.00000000,16.12800026,-383.79998779
4744.23535156,1143.12426758,0.06700000,10415.00000000,16.12000084,-432.79998779
4744.23535156,1143.12426758,0.06700000,10616.00000000,16.12400055,-351.79998779
4744.23535156,1143.12426758,0.06700000,10817.00000000,16.12400055,-387.29998779
