Used Parameters:
Used Foils:,wide_stiff_for_real
Waterspeed:,0.0
Frequency:,0.9
Heave Amplitude:,38
Pitch Amplitude:,20
Camber Amplitude,90
Pitch Phase,0
Camber Phase,0
Turn Rate,0
Test Duration,10

Statistical Evaluation:
Time,Heave_pos,Pitch_right,Pitch_left,Power_consumption,Noise,Fx,Fz,Mx,My,Mz,Inflow_velocity,Angle_of_attack,Efficiency
average,40.449,91.704,63.972,0.000,0.000,1.404,7.647,1.380,0.024,0.070,0.809,91.604,inf
max,150.000,150.000,150.000,0.000,0.000,3.240,16.900,3.190,0.050,0.160,2.632,149.900,inf
min,0.000,30.000,0.000,0.000,0.000,0.370,1.900,0.350,0.010,0.020,0.000,29.900,inf
std. dev,45.273,59.185,63.817,0.000,0.000,0.739,2.575,0.732,0.008,0.037,0.819,59.185,

Complete Data:
Time,Heave_pos,Pitch_right,Pitch_left,Power_consumption,Noise,Fx,Fz,Mx,My,Mz,Inflow_velocity,Angle_of_attack,Efficiency
108.211,59.940,30.000,150.000,0.000,0.000,0.160,6.500,0.140,0.020,0.010,0.059,29.900,inf
108.281,5.000,30.000,150.000,0.000,0.000,0.160,6.500,0.140,0.020,0.010,1.097,29.900,inf
108.350,80.390,30.000,150.000,0.000,0.000,0.150,6.500,0.130,0.020,0.010,1.503,29.900,inf
108.420,95.050,30.000,150.000,0.000,0.000,0.150,6.500,0.130,0.020,0.010,0.292,29.900,inf
108.490,109.500,30.000,150.000,0.000,0.000,0.150,6.500,0.130,0.020,0.010,0.289,29.900,inf
108.559,121.920,30.000,150.000,0.000,0.000,0.080,6.400,0.070,0.010,0.000,0.247,29.900,inf
108.629,8.000,30.000,150.000,0.000,0.000,0.080,6.400,0.070,0.010,0.000,2.274,29.900,inf
108.699,133.000,92.260,87.740,0.000,0.000,1.510,6.400,1.480,0.030,0.070,2.498,92.160,inf
108.768,130.020,150.000,30.000,0.000,0.000,1.510,6.400,1.480,0.030,0.070,0.059,149.900,inf
108.838,3.000,150.000,30.000,0.000,0.000,1.510,6.400,1.480,0.030,0.070,2.552,149.900,inf
108.907,2.000,150.000,30.000,0.000,0.000,1.220,6.500,1.190,0.030,0.060,0.020,149.900,inf
108.977,94.640,150.000,30.000,0.000,0.000,1.220,6.500,1.190,0.030,0.060,1.841,149.900,inf
109.047,150.000,30.000,0.000,0.000,,1.220,6.500,1.190,0.030,0.060,1.103,29.900,inf
109.116,67.860,150.000,30.000,0.000,0.000,0.890,6.700,0.870,0.020,0.040,1.636,149.900,inf
109.186,150.000,30.000,0.000,0.000,,0.890,6.700,0.870,0.020,0.040,1.638,29.900,inf
109.255,57.000,80.390,99.610,0.000,0.000,1.800,6.500,1.760,0.040,0.090,1.859,80.290,inf
109.325,60.100,30.000,150.000,0.000,0.000,1.800,6.500,1.760,0.040,0.090,0.062,29.900,inf
109.395,68.590,30.000,150.000,0.000,0.000,1.800,6.500,1.760,0.040,0.090,0.169,29.900,inf
109.464,0.000,150.000,0.000,0.000,,0.980,6.500,0.950,0.030,0.050,1.371,149.900,inf
109.530,0.000,150.000,0.000,0.000,,0.980,6.500,0.950,0.030,0.050,0.000,149.900,inf
109.604,109.870,30.000,150.000,0.000,0.000,0.980,6.500,0.950,0.030,0.050,2.072,29.900,inf
109.673,0.000,150.000,0.000,0.000,,0.440,6.600,0.410,0.030,0.020,2.194,149.900,inf
109.743,130.410,30.000,150.000,0.000,0.000,0.440,6.600,0.410,0.030,0.020,2.599,29.900,inf
109.813,6.960,73.040,0.000,0.000,,0.440,6.600,0.410,0.030,0.020,2.460,72.940,inf
109.882,50.000,30.000,0.000,0.000,,3.170,6.600,3.130,0.040,0.160,0.861,29.900,inf
109.952,121.190,150.000,30.000,0.000,0.000,3.170,6.600,3.130,0.040,0.160,1.418,149.900,inf
110.021,50.000,30.000,0.000,0.000,,1.960,6.400,1.920,0.030,0.100,1.425,29.900,inf
110.087,0.000,30.000,0.000,0.000,,1.960,6.400,1.920,0.030,0.100,1.058,29.900,inf
110.156,79.450,150.000,30.000,0.000,0.000,1.960,6.400,1.920,0.030,0.100,1.589,149.900,inf
110.226,7.430,150.000,30.000,0.000,0.000,1.020,6.300,1.000,0.020,0.050,1.437,149.900,inf
110.296,9.560,150.000,30.000,0.000,0.000,1.020,6.300,1.000,0.020,0.050,0.042,149.900,inf
110.366,7.010,70.770,109.230,0.000,0.000,1.020,6.300,1.000,0.020,0.050,0.051,70.670,inf
110.435,0.260,30.000,150.000,0.000,0.000,1.400,6.500,1.370,0.030,0.070,0.135,29.900,inf
