Used Parameters:
Used Foils:,wide_stiff_for_real
Waterspeed:,0.0
Frequency:,0.8
Heave Amplitude:,38
Pitch Amplitude:,20
Camber Amplitude,90
Pitch Phase,0
Camber Phase,0
Turn Rate,0
Test Duration,10

Statistical Evaluation:
Time,Heave_pos,Pitch_right,Pitch_left,Power_consumption,Noise,Fx,Fz,Mx,My,Mz,Inflow_velocity,Angle_of_attack,Efficiency
98.685,74.800,150.000,30.000,0.000,0.000,1.000,6.700,0.990,0.020,0.050,0.241,149.900,inf
98.754,64.940,150.000,30.000,0.000,0.000,1.000,6.700,0.990,0.020,0.050,0.197,149.900,inf
98.824,,150.000,30.000,0.000,0.000,1.000,6.700,0.990,0.020,0.050,,149.900,inf
98.893,57.030,53.820,126.180,0.000,0.000,2.020,6.700,1.980,0.040,0.100,,53.720,inf
98.963,,30.000,150.000,0.000,0.000,2.020,6.700,1.980,0.040,0.100,,29.900,inf
99.033,,30.000,150.000,0.000,0.000,1.460,6.700,1.420,0.040,0.070,,29.900,inf
99.102,30.000,150.000,0.000,0.000,,1.460,6.700,1.420,0.040,0.070,,149.900,inf
99.172,30.000,150.000,0.000,0.000,,1.460,6.700,1.420,0.040,0.070,0.000,149.900,inf
99.242,,30.000,150.000,0.000,0.000,0.680,6.700,0.660,0.030,0.030,,29.900,inf
99.311,,30.000,150.000,0.000,0.000,0.680,6.700,0.660,0.030,0.030,,29.900,inf
99.381,,30.000,150.000,0.000,0.000,0.680,6.700,0.660,0.030,0.030,,29.900,inf
99.450,,30.000,150.000,0.000,0.000,1.830,6.800,1.810,0.020,0.090,,29.900,inf
99.520,,135.220,44.780,0.000,0.000,1.830,6.800,1.810,0.020,0.090,,135.120,inf
99.590,129.970,150.000,30.000,0.000,0.000,1.830,6.800,1.810,0.020,0.090,,149.900,inf
99.659,122.830,150.000,30.000,0.000,0.000,1.880,6.600,1.840,0.040,0.090,0.143,149.900,inf
99.729,,150.000,30.000,0.000,0.000,1.880,6.600,1.840,0.040,0.090,,149.900,inf
99.799,150.000,30.000,0.000,0.000,,0.720,6.800,0.700,0.020,0.030,,29.900,inf
99.868,86.380,150.000,30.000,0.000,0.000,0.720,6.800,0.700,0.020,0.030,1.273,149.900,inf
99.938,150.000,30.000,0.000,0.000,,0.720,6.800,0.700,0.020,0.030,1.267,29.900,inf
100.007,150.000,30.000,0.000,0.000,,1.690,6.500,1.670,0.020,0.090,0.000,29.900,inf
100.077,50.000,30.000,0.000,0.000,,1.690,6.500,1.670,0.020,0.090,1.991,29.900,inf
100.148,5.740,144.260,0.000,0.000,,1.690,6.500,1.670,0.020,0.090,0.872,144.160,inf
100.216,0.000,150.000,0.000,0.000,,1.320,6.700,1.290,0.030,0.060,0.116,149.900,inf
100.286,67.430,30.000,150.000,0.000,0.000,1.320,6.700,1.290,0.030,0.060,1.349,29.900,inf
100.355,0.000,150.000,0.000,0.000,,1.050,6.600,1.020,0.030,0.050,1.347,149.900,inf
100.421,90.520,30.000,150.000,0.000,0.000,1.050,6.600,1.020,0.030,0.050,1.909,29.900,inf
100.495,103.800,30.000,150.000,0.000,0.000,1.050,6.600,1.020,0.030,0.050,0.250,29.900,inf
100.564,0.000,150.000,0.000,0.000,,0.250,6.600,0.230,0.010,0.010,2.081,149.900,inf
100.634,125.630,30.000,150.000,0.000,0.000,0.250,6.600,0.230,0.010,0.010,2.508,29.900,inf
100.703,0.000,150.000,0.000,0.000,,0.250,6.600,0.230,0.010,0.010,2.508,149.900,inf
100.773,132.920,148.770,31.230,0.000,0.000,2.640,6.700,2.600,0.040,0.130,2.643,148.670,inf
100.843,129.740,150.000,30.000,0.000,0.000,2.640,6.700,2.600,0.040,0.130,0.063,149.900,inf
100.914,122.310,150.000,30.000,0.000,0.000,2.640,6.700,2.600,0.040,0.130,0.144,149.900,inf
100.982,50.000,30.000,0.000,0.000,,1.390,6.700,1.360,0.030,0.070,1.482,29.900,inf
101.052,98.910,150.000,30.000,0.000,0.000,1.390,6.700,1.360,0.030,0.070,0.975,149.900,inf
101.121,85.640,150.000,30.000,0.000,0.000,0.970,6.800,0.950,0.020,0.050,0.266,149.900,inf
101.191,0.000,30.000,0.000,0.000,,0.970,6.800,0.950,0.020,0.050,1.710,29.900,inf
101.256,64.150,150.000,30.000,0.000,0.000,0.970,6.800,0.950,0.020,0.050,1.357,149.900,inf
101.326,58.440,150.000,30.000,0.000,0.000,1.850,6.800,1.820,0.030,0.090,0.113,149.900,inf
101.396,57.110,30.000,150.000,0.000,0.000,1.850,6.800,1.820,0.030,0.090,0.026,29.900,inf
101.466,0.420,30.000,150.000,0.000,0.000,1.850,6.800,1.820,0.030,0.090,1.133,29.900,inf
101.535,7.830,30.000,150.000,0.000,0.000,1.170,6.800,1.150,0.030,0.060,0.148,29.900,inf
101.605,8.650,30.000,150.000,0.000,0.000,1.170,6.800,1.150,0.030,0.060,0.016,29.900,inf
101.674,91.280,30.000,150.000,0.000,0.000,1.170,6.800,1.150,0.030,0.060,1.656,29.900,inf
101.744,4.360,30.000,150.000,0.000,0.000,0.810,6.800,0.780,0.030,0.040,1.726,29.900,inf
101.814,116.630,30.000,150.000,0.000,0.000,0.810,6.800,0.780,0.030,0.040,2.237,29.900,inf
101.883,25.970,30.000,150.000,0.000,0.000,0.970,6.900,0.950,0.020,0.050,1.812,29.900,inf
101.953,31.660,30.000,150.000,0.000,0.000,0.970,6.900,0.950,0.020,0.050,0.114,29.900,inf
102.027,32.860,150.000,30.000,0.000,0.000,0.970,6.900,0.950,0.020,0.050,0.022,149.900,inf
102.092,0.000,30.000,0.000,0.000,,2.110,6.600,2.070,0.040,0.100,0.701,29.900,inf
102.166,21.900,150.000,30.000,0.000,0.000,2.110,6.600,2.070,0.040,0.100,0.413,149.900,inf
102.231,0.000,30.000,0.000,0.000,,2.110,6.600,2.070,0.040,0.100,0.463,29.900,inf
102.301,8.340,150.000,30.000,0.000,0.000,0.930,6.800,0.910,0.020,0.050,0.166,149.900,inf
102.371,5.090,150.000,30.000,0.000,0.000,0.930,6.800,0.910,0.020,0.050,0.065,149.900,inf
102.440,3.050,150.000,30.000,0.000,0.000,1.520,6.700,1.490,0.030,0.080,0.041,149.900,inf
102.511,0.810,150.000,30.000,0.000,0.000,1.520,6.700,1.490,0.030,0.080,0.044,149.900,inf
102.580,0.240,150.000,30.000,0.000,0.000,1.520,6.700,1.490,0.030,0.080,0.011,149.900,inf
102.649,0.160,30.000,150.000,0.000,0.000,1.480,6.600,1.440,0.030,0.070,0.002,29.900,inf
102.719,0.660,30.000,150.000,0.000,0.000,1.480,6.600,1.440,0.030,0.070,0.010,29.900,inf
102.788,68.370,30.000,150.000,0.000,0.000,1.480,6.600,1.440,0.030,0.070,1.351,29.900,inf
102.858,17.000,30.000,150.000,0.000,0.000,1.050,6.500,1.020,0.020,0.050,1.019,29.900,inf
102.928,4.000,30.000,150.000,0.000,0.000,1.050,6.500,1.020,0.020,0.050,0.259,29.900,inf
102.997,105.100,30.000,150.000,0.000,0.000,1.050,6.500,1.020,0.020,0.050,2.018,29.900,inf
103.067,0.100,30.000,150.000,0.000,0.000,0.420,6.700,0.400,0.020,0.020,2.096,29.900,inf
103.137,0.400,30.000,150.000,0.000,0.000,0.420,6.700,0.400,0.020,0.020,0.006,29.900,inf
103.206,131.810,30.000,150.000,0.000,0.000,2.510,6.600,2.470,0.040,0.130,2.620,29.900,inf
103.276,132.810,150.000,30.000,0.000,0.000,2.510,6.600,2.470,0.040,0.130,0.020,149.900,inf
103.346,129.180,150.000,30.000,0.000,0.000,2.510,6.600,2.470,0.040,0.130,0.073,149.900,inf
103.415,0.500,150.000,30.000,0.000,0.000,1.640,6.800,1.600,0.040,0.080,2.564,149.900,inf
103.485,0.480,150.000,30.000,0.000,0.000,1.640,6.800,1.600,0.040,0.080,0.000,149.900,inf
103.554,97.580,150.000,30.000,0.000,0.000,1.640,6.800,1.600,0.040,0.080,1.935,149.900,inf
103.624,0.540,150.000,30.000,0.000,0.000,0.760,6.600,0.740,0.020,0.040,1.942,149.900,inf
103.694,59.000,150.000,30.000,0.000,0.000,0.760,6.600,0.740,0.020,0.040,1.160,149.900,inf
103.763,38.000,150.000,30.000,0.000,0.000,2.080,6.700,2.050,0.030,0.100,0.420,149.900,inf
103.833,10.000,150.000,30.000,0.000,0.000,2.080,6.700,2.050,0.030,0.100,0.558,149.900,inf
103.903,23.000,30.000,150.000,0.000,0.000,2.080,6.700,2.050,0.030,0.100,0.259,29.900,inf
103.972,1.000,30.000,150.000,0.000,0.000,1.330,6.800,1.290,0.040,0.060,0.441,29.900,inf
104.042,68.780,30.000,150.000,0.000,0.000,1.330,6.800,1.290,0.040,0.060,1.344,29.900,inf
