Used Parameters:
Used Foils:,wide_stiff_for_real
Waterspeed:,0.0
Frequency:,0.5
Heave Amplitude:,38
Pitch Amplitude:,20
Camber Amplitude,90
Pitch Phase,0
Camber Phase,0
Turn Rate,0
Test Duration,10

Statistical Evaluation:
Time,Heave_pos,Pitch_right,Pitch_left,Power_consumption,Noise,Fx,Fz,Mx,My,Mz,Inflow_velocity,Angle_of_attack,Efficiency
average,47.718,89.313,75.256,0.000,0.000,0.605,6.429,0.583,0.023,0.029,0.968,89.213,inf
max,150.000,150.000,150.000,0.000,0.000,1.320,7.300,1.290,0.040,0.070,2.607,149.900,inf
min,0.000,30.000,0.000,0.000,0.000,0.060,6.100,0.040,0.020,0.000,0.000,29.900,inf
std. dev,49.941,59.315,64.600,0.000,0.000,0.381,0.207,0.377,0.005,0.020,0.934,59.315,

Complete Data:
Time,Heave_pos,Pitch_right,Pitch_left,Power_consumption,Noise,Fx,Fz,Mx,My,Mz,Inflow_velocity,Angle_of_attack,Efficiency
56.195,,30.000,150.000,0.000,0.000,0.200,6.500,0.180,0.020,0.010,,29.900,inf
56.265,,30.000,150.000,0.000,0.000,0.140,6.300,0.120,0.020,0.010,,29.900,inf
56.334,64.830,30.000,150.000,0.000,0.000,0.140,6.300,0.120,0.020,0.010,,29.900,inf
56.404,30.000,150.000,0.000,0.000,,0.140,6.300,0.120,0.020,0.010,0.693,149.900,inf
56.473,30.000,150.000,0.000,0.000,,0.160,6.500,0.140,0.020,0.010,0.000,149.900,inf
56.543,85.200,30.000,150.000,0.000,0.000,0.160,6.500,0.140,0.020,0.010,1.098,29.900,inf
56.613,0.000,150.000,0.000,0.000,,0.020,6.500,0.010,0.010,0.000,1.706,149.900,inf
56.682,30.000,150.000,0.000,0.000,,0.020,6.500,0.010,0.010,0.000,0.598,149.900,inf
56.752,109.650,30.000,150.000,0.000,0.000,0.020,6.500,0.010,0.010,0.000,1.586,29.900,inf
56.822,116.850,30.000,150.000,0.000,0.000,0.070,6.700,0.050,0.020,0.000,0.144,29.900,inf
56.891,123.110,30.000,150.000,0.000,0.000,0.070,6.700,0.050,0.020,0.000,0.125,29.900,inf
56.961,128.010,30.000,150.000,0.000,0.000,0.070,6.700,0.050,0.020,0.000,0.098,29.900,inf
57.031,0.000,150.000,0.000,0.000,,0.110,6.700,0.090,0.020,0.000,2.553,149.900,inf
57.100,0.000,150.000,0.000,0.000,,0.110,6.700,0.090,0.020,0.000,0.000,149.900,inf
57.170,50.000,30.000,0.000,0.000,,0.110,6.700,0.090,0.020,0.000,0.996,29.900,inf
57.239,50.000,30.000,0.000,0.000,,0.270,6.400,0.250,0.020,0.010,0.000,29.900,inf
57.309,50.000,30.000,0.000,0.000,,0.270,6.400,0.250,0.020,0.010,0.000,29.900,inf
57.379,21.620,150.000,30.000,0.000,0.000,0.570,6.500,0.540,0.020,0.030,0.564,149.900,inf
57.449,50.000,30.000,0.000,0.000,,0.570,6.500,0.540,0.020,0.030,0.564,29.900,inf
57.518,0.000,30.000,0.000,0.000,,0.570,6.500,0.540,0.020,0.030,1.001,29.900,inf
57.583,0.000,30.000,0.000,0.000,,1.090,6.500,1.060,0.030,0.050,0.000,29.900,inf
57.653,1.310,150.000,30.000,0.000,0.000,1.090,6.500,1.060,0.030,0.050,0.026,149.900,inf
57.723,3.140,150.000,30.000,0.000,0.000,1.090,6.500,1.060,0.030,0.050,0.037,149.900,inf
57.793,75.760,150.000,30.000,0.000,0.000,1.300,6.400,1.260,0.040,0.060,1.442,149.900,inf
57.862,0.070,150.000,30.000,0.000,0.000,1.300,6.400,1.260,0.040,0.060,1.512,149.900,inf
57.932,0.640,150.000,30.000,0.000,0.000,1.300,6.400,1.260,0.040,0.060,0.011,149.900,inf
58.002,59.760,150.000,30.000,0.000,0.000,1.030,6.400,1.000,0.030,0.050,1.179,149.900,inf
58.071,51.000,150.000,30.000,0.000,0.000,1.030,6.400,1.000,0.030,0.050,0.175,149.900,inf
58.140,5.000,41.960,138.040,0.000,0.000,0.720,6.600,0.690,0.030,0.030,0.923,41.860,inf
58.210,41.000,30.000,150.000,0.000,0.000,0.720,6.600,0.690,0.030,0.030,0.718,29.900,inf
58.280,61.530,30.000,150.000,0.000,0.000,0.720,6.600,0.690,0.030,0.030,0.407,29.900,inf
58.349,8.000,30.000,150.000,0.000,0.000,0.230,6.600,0.210,0.020,0.010,1.069,29.900,inf
58.419,8.000,30.000,150.000,0.000,0.000,0.230,6.600,0.210,0.020,0.010,0.000,29.900,inf
58.489,79.360,30.000,150.000,0.000,0.000,0.230,6.600,0.210,0.020,0.010,1.420,29.900,inf
58.558,87.180,30.000,150.000,0.000,0.000,0.070,6.400,0.050,0.020,0.000,0.156,29.900,inf
58.628,95.480,30.000,150.000,0.000,0.000,0.070,6.400,0.050,0.020,0.000,0.165,29.900,inf
58.698,4.000,30.000,150.000,0.000,0.000,0.250,6.500,0.230,0.020,0.010,1.825,29.900,inf
58.767,0.000,30.000,150.000,0.000,0.000,0.250,6.500,0.230,0.020,0.010,0.080,29.900,inf
58.837,7.000,30.000,150.000,0.000,0.000,0.250,6.500,0.230,0.020,0.010,0.139,29.900,inf
58.906,124.510,30.000,150.000,0.000,0.000,0.320,6.300,0.300,0.020,0.010,2.346,29.900,inf
58.976,129.020,30.000,150.000,0.000,0.000,0.320,6.300,0.300,0.020,0.010,0.090,29.900,inf
59.046,131.890,30.000,150.000,0.000,0.000,0.320,6.300,0.300,0.020,0.010,0.057,29.900,inf
59.115,9.000,67.380,112.620,0.000,0.000,0.290,6.500,0.270,0.020,0.010,2.451,67.280,inf
59.185,132.280,150.000,30.000,0.000,0.000,0.290,6.500,0.270,0.020,0.010,2.470,149.900,inf
59.254,129.780,150.000,30.000,0.000,0.000,0.290,6.500,0.270,0.020,0.010,0.050,149.900,inf
59.324,7.000,150.000,30.000,0.000,0.000,0.360,6.500,0.340,0.020,0.020,2.457,149.900,inf
59.394,120.040,150.000,30.000,0.000,0.000,0.360,6.500,0.340,0.020,0.020,2.252,149.900,inf
59.464,1.000,150.000,30.000,0.000,0.000,0.630,6.500,0.610,0.020,0.030,2.365,149.900,inf
59.533,0.000,150.000,30.000,0.000,0.000,0.630,6.500,0.610,0.020,0.030,0.020,149.900,inf
59.603,,150.000,30.000,0.000,0.000,0.630,6.500,0.610,0.020,0.030,,149.900,inf
59.672,,150.000,30.000,0.000,0.000,1.100,6.600,1.080,0.020,0.050,,149.900,inf
59.742,,150.000,30.000,0.000,0.000,1.100,6.600,1.080,0.020,0.050,,149.900,inf
59.812,,150.000,30.000,0.000,0.000,1.100,6.600,1.080,0.020,0.050,,149.900,inf
59.881,,150.000,30.000,0.000,0.000,1.120,6.400,1.090,0.030,0.050,,149.900,inf
59.951,150.000,30.000,0.000,0.000,,1.120,6.400,1.090,0.030,0.050,,29.900,inf
60.020,150.000,30.000,0.000,0.000,,0.950,6.500,0.920,0.030,0.050,0.000,29.900,inf
60.093,150.000,30.000,0.000,0.000,,0.950,6.500,0.920,0.030,0.050,0.000,29.900,inf
60.160,30.000,150.000,0.000,0.000,,0.950,6.500,0.920,0.030,0.050,2.506,149.900,inf
60.229,0.000,150.000,0.000,0.000,,0.560,6.500,0.540,0.020,0.030,0.601,149.900,inf
60.299,62.600,30.000,150.000,0.000,0.000,0.560,6.500,0.540,0.020,0.030,1.241,29.900,inf
60.369,0.000,150.000,0.000,0.000,,0.560,6.500,0.540,0.020,0.030,1.252,149.900,inf
60.438,0.000,150.000,0.000,0.000,,0.150,7.300,0.130,0.020,0.010,0.000,149.900,inf
60.504,0.000,150.000,0.000,0.000,,0.150,7.300,0.130,0.020,0.010,0.000,149.900,inf
60.574,89.530,30.000,150.000,0.000,0.000,0.150,7.300,0.130,0.020,0.010,1.792,29.900,inf
60.643,97.740,30.000,150.000,0.000,0.000,0.180,6.400,0.160,0.020,0.010,0.165,29.900,inf
60.717,105.950,30.000,150.000,0.000,0.000,0.180,6.400,0.160,0.020,0.010,0.155,29.900,inf
60.786,0.000,150.000,0.000,0.000,,0.290,6.100,0.270,0.020,0.010,2.113,149.900,inf
60.856,0.000,150.000,0.000,0.000,,0.290,6.100,0.270,0.020,0.010,0.000,149.900,inf
60.926,0.000,150.000,0.000,0.000,,0.290,6.100,0.270,0.020,0.010,0.000,149.900,inf
60.996,129.920,30.000,150.000,0.000,0.000,0.600,6.100,0.590,0.020,0.030,2.582,29.900,inf
61.065,0.000,150.000,0.000,0.000,,0.600,6.100,0.590,0.020,0.030,2.598,149.900,inf
61.135,21.100,58.900,0.000,0.000,,0.600,6.100,0.590,0.020,0.030,0.420,58.800,inf
61.204,50.000,30.000,0.000,0.000,,0.390,6.200,0.370,0.020,0.020,0.577,29.900,inf
61.274,50.000,30.000,0.000,0.000,,0.390,6.200,0.370,0.020,0.020,0.000,29.900,inf
61.343,50.000,30.000,0.000,0.000,,0.570,6.400,0.550,0.020,0.030,0.000,29.900,inf
61.413,118.290,150.000,30.000,0.000,0.000,0.570,6.400,0.550,0.020,0.030,1.364,149.900,inf
61.482,50.000,30.000,0.000,0.000,,0.570,6.400,0.550,0.020,0.030,1.360,29.900,inf
61.552,103.410,150.000,30.000,0.000,0.000,0.940,6.300,0.920,0.020,0.050,1.061,149.900,inf
61.618,0.000,30.000,0.000,0.000,,0.940,6.300,0.920,0.020,0.050,2.192,29.900,inf
61.688,86.830,150.000,30.000,0.000,0.000,0.940,6.300,0.920,0.020,0.050,1.729,149.900,inf
61.757,79.040,150.000,30.000,0.000,0.000,1.320,6.200,1.290,0.030,0.070,0.156,149.900,inf
61.827,1.900,150.000,30.000,0.000,0.000,1.320,6.200,1.290,0.030,0.070,1.538,149.900,inf
61.897,5.870,150.000,30.000,0.000,0.000,1.320,6.200,1.290,0.030,0.070,0.079,149.900,inf
61.966,1.360,150.000,30.000,0.000,0.000,1.110,6.400,1.080,0.030,0.050,0.090,149.900,inf
62.035,58.320,150.000,30.000,0.000,0.000,1.110,6.400,1.080,0.030,0.050,1.140,149.900,inf
62.105,7.040,132.400,47.610,0.000,0.000,0.810,6.500,0.780,0.030,0.040,1.017,132.300,inf
62.175,57.570,30.000,150.000,0.000,0.000,0.810,6.500,0.780,0.030,0.040,1.010,29.900,inf
62.245,59.890,30.000,150.000,0.000,0.000,0.810,6.500,0.780,0.030,0.040,0.046,29.900,inf
62.314,0.840,30.000,150.000,0.000,0.000,0.290,6.400,0.270,0.020,0.010,1.181,29.900,inf
62.384,34.000,30.000,150.000,0.000,0.000,0.290,6.400,0.270,0.020,0.010,0.664,29.900,inf
62.453,7.000,30.000,150.000,0.000,0.000,0.290,6.400,0.270,0.020,0.010,0.537,29.900,inf
62.523,60.000,30.000,150.000,0.000,0.000,0.060,6.500,0.040,0.020,0.000,1.057,29.900,inf
62.593,8.000,30.000,150.000,0.000,0.000,0.060,6.500,0.040,0.020,0.000,1.034,29.900,inf
62.662,12.000,30.000,150.000,0.000,0.000,0.060,6.500,0.040,0.020,0.000,0.080,29.900,inf
62.732,10.000,30.000,150.000,0.000,0.000,0.270,6.400,0.250,0.020,0.010,0.040,29.900,inf
62.802,115.560,30.000,150.000,0.000,0.000,0.270,6.400,0.250,0.020,0.010,2.107,29.900,inf
62.871,0.950,30.000,150.000,0.000,0.000,0.570,6.300,0.550,0.020,0.030,2.288,29.900,inf
62.941,0.150,30.000,150.000,0.000,0.000,0.570,6.300,0.550,0.020,0.030,0.016,29.900,inf
63.011,130.790,30.000,150.000,0.000,0.000,0.570,6.300,0.550,0.020,0.030,2.607,29.900,inf
63.080,0.700,30.000,150.000,0.000,0.000,0.430,6.300,0.410,0.020,0.020,2.597,29.900,inf
