Used Foils:,stiff_foils
Waterspeed:,0.0
Frequency:,0.8
Heave Amplitude:,40
Pitch Amplitude:,15
Camber Amplitude,90
Pitch Phase,0
Camber Phase,0
Turn Rate,0
Test Duration, 10

Time,Fx,Fz,Mx,My,Mz
400.386029958725,-0.03,37.77,6.76,0.04,-0.00
400.5748178958893,0.69,42.53,6.36,-0.41,0.03
400.7635269165039,0.46,39.16,6.66,-0.02,0.02
400.9524028301239,-0.46,34.43,6.73,0.14,-0.02
401.14125299453735,-0.10,37.64,6.62,-0.01,-0.00
401.32954478263855,-0.08,36.74,6.72,0.08,-0.00
401.5183138847351,0.03,37.76,6.68,-0.02,0.00
401.70733880996704,0.05,37.52,6.75,0.07,0.00
401.89579701423645,-0.03,36.63,6.49,-0.01,-0.00
402.0847189426422,0.17,36.74,6.01,-0.36,0.01
402.27360677719116,0.04,36.37,6.41,-0.18,0.00
402.46234798431396,0.23,39.89,6.76,-0.12,0.01
402.651202917099,1.31,45.91,6.81,-0.21,0.07
402.83981800079346,1.04,45.31,6.72,-0.25,0.05
403.0288188457489,0.28,38.10,6.73,0.13,0.01
403.21763706207275,-0.14,35.40,6.24,-0.12,-0.01
403.40619683265686,0.32,35.95,5.91,-0.33,0.02
403.59504675865173,0.07,35.45,6.39,-0.15,0.00
403.7839059829712,0.42,41.03,6.62,-0.26,0.02
403.973228931427,1.19,45.49,6.77,-0.22,0.06
404.16142678260803,0.75,44.03,6.73,-0.18,0.04
404.35020089149475,-0.09,35.73,6.68,0.13,-0.00
404.5390729904175,0.20,36.05,5.80,-0.38,0.01
404.72804498672485,0.14,35.76,6.18,-0.25,0.01
404.9164090156555,0.02,37.49,6.69,-0.08,0.00
405.10553908348083,1.08,45.51,6.88,-0.27,0.06
405.2942249774933,1.22,45.35,6.75,-0.21,0.06
405.48290491104126,0.63,40.89,6.70,0.03,0.03
405.67179679870605,-0.19,34.66,6.35,0.05,-0.01
405.8605947494507,0.22,36.35,5.76,-0.43,0.01
406.0494990348816,0.11,35.24,6.29,-0.17,0.01
406.23823499679565,0.07,39.82,6.61,-0.12,0.00
406.4267089366913,1.39,46.15,6.79,-0.25,0.07
406.6154520511627,0.92,44.68,6.72,-0.22,0.05
406.8046329021454,0.18,37.53,6.67,0.12,0.01
406.99364280700684,-0.17,35.46,6.06,-0.22,-0.01
407.1821930408478,0.12,35.46,5.86,-0.30,0.01
407.3708610534668,0.08,35.63,6.43,-0.12,0.00
407.55958795547485,0.46,41.99,6.55,-0.27,0.02
407.7485339641571,1.23,44.90,6.69,-0.19,0.06
407.9373769760132,0.78,41.76,6.59,-0.09,0.04
408.1260118484497,-0.15,34.27,6.43,0.07,-0.01
408.3149790763855,0.12,36.24,5.72,-0.39,0.01
408.50382900238037,0.22,35.41,6.21,-0.22,0.01
408.69261479377747,-0.07,37.91,6.63,-0.07,-0.00
408.8812358379364,0.90,45.23,6.77,-0.23,0.05
409.0700080394745,1.01,44.54,6.72,-0.20,0.05
409.2588028907776,0.43,38.58,6.67,0.13,0.02
409.44788694381714,-0.23,34.89,6.19,-0.08,-0.01
409.63617610931396,0.28,36.04,5.84,-0.34,0.01
409.8251609802246,-0.03,35.43,6.38,-0.15,-0.00
410.0142788887024,0.18,40.27,6.59,-0.21,0.01
410.20270895957947,1.21,45.18,6.79,-0.21,0.06
