RX Date/Time,Fx(field 1),Fz(field 2),Mx(field 3),My(field 4),Mz(field 5)
2024/09/19/ 19:49:18::700,-0.00,8.20,0.00,-0.00,0.00
2024/09/19/ 19:49:18::828,-0.00,8.10,0.00,-0.00,0.00
2024/09/19/ 19:49:18::980,-0.00,8.00,0.00,-0.00,0.00
2024/09/19/ 19:49:18::986,-0.00,8.00,0.00,-0.00,0.00
2024/09/19/ 19:49:18::986,-0.00,8.10,0.00,-0.01,0.00
2024/09/19/ 19:49:19::174,-0.00,8.10,0.00,-0.00,0.00
2024/09/19/ 19:49:19::177,-0.00,8.10,0.00,-0.00,0.00
2024/09/19/ 19:49:19::346,-0.00,8.10,0.00,-0.00,0.00
2024/09/19/ 19:49:19::456,-0.00,8.00,0.00,-0.00,0.00
2024/09/19/ 19:49:19::538,-0.00,8.10,0.00,-0.00,0.00
2024/09/19/ 19:49:19::662,-0.00,8.00,0.00,-0.00,0.00
2024/09/19/ 19:49:19::716,-0.00,8.10,0.00,-0.00,0.00
2024/09/19/ 19:49:19::734,-0.00,8.10,0.00,-0.00,0.00
2024/09/19/ 19:49:19::827,-0.00,8.00,0.00,-0.00,0.00
2024/09/19/ 19:49:19::931,-0.00,8.00,0.00,-0.00,0.00
2024/09/19/ 19:49:20::043,-0.00,8.10,0.00,-0.00,0.00
2024/09/19/ 19:49:20::117,-0.00,8.20,0.00,-0.00,0.00
2024/09/19/ 19:49:20::246,-0.00,8.10,0.00,-0.01,0.00
2024/09/19/ 19:49:20::291,-0.00,8.00,0.00,-0.01,0.00
2024/09/19/ 19:49:20::394,-0.00,8.00,0.00,-0.01,0.00
2024/09/19/ 19:49:20::491,-0.00,8.00,0.00,-0.00,0.00
2024/09/19/ 19:49:20::594,-0.00,8.10,0.00,-0.00,0.00
2024/09/19/ 19:49:20::699,-0.00,8.10,0.00,-0.01,0.00
2024/09/19/ 19:49:20::808,0.00,8.00,0.00,-0.00,0.00
2024/09/19/ 19:49:20::907,0.00,8.10,0.01,-0.00,0.00
2024/09/19/ 19:49:20::985,-0.00,8.10,0.00,-0.00,0.00
2024/09/19/ 19:49:21::117,-0.00,8.00,0.00,-0.00,0.00
2024/09/19/ 19:49:21::150,-0.00,8.10,0.00,-0.01,0.00
2024/09/19/ 19:49:21::236,-0.00,8.00,0.00,-0.01,0.00
2024/09/19/ 19:49:21::338,-0.00,8.20,0.00,-0.00,0.00
2024/09/19/ 19:49:21::447,-0.00,8.00,0.00,-0.00,0.00
2024/09/19/ 19:49:21::575,-0.00,8.20,0.00,-0.00,0.00
2024/09/19/ 19:49:21::691,-0.00,8.10,0.00,-0.00,0.00
2024/09/19/ 19:49:21::773,-0.00,8.10,0.00,-0.00,0.00
2024/09/19/ 19:49:21::833,-0.00,8.10,0.00,-0.00,0.00
2024/09/19/ 19:49:21::900,-0.00,8.20,0.00,-0.00,0.00
2024/09/19/ 19:49:21::994,-0.00,8.10,0.00,-0.00,0.00
2024/09/19/ 19:49:22::117,-0.00,8.20,0.00,-0.01,0.00
2024/09/19/ 19:49:22::222,-0.01,8.10,-0.00,-0.01,0.00
2024/09/19/ 19:49:22::300,-0.01,8.10,-0.00,-0.01,0.00
2024/09/19/ 19:49:22::420,-0.01,8.10,-0.00,-0.01,0.00
2024/09/19/ 19:49:22::481,-0.01,8.10,-0.00,-0.00,0.00
2024/09/19/ 19:49:22::572,-0.01,8.00,-0.00,-0.00,0.00
2024/09/19/ 19:49:22::672,-0.01,8.10,-0.00,-0.01,0.00
2024/09/19/ 19:49:22::772,-0.01,8.10,-0.00,-0.00,0.00
2024/09/19/ 19:49:22::872,-0.01,8.00,-0.00,-0.01,0.00
2024/09/19/ 19:49:22::979,-0.01,8.10,-0.00,-0.01,0.00
2024/09/19/ 19:49:23::073,-0.01,8.00,-0.00,-0.01,0.00
2024/09/19/ 19:49:23::133,-0.01,8.10,-0.00,-0.01,0.00
2024/09/19/ 19:49:23::237,-0.01,8.00,-0.00,-0.01,0.00
2024/09/19/ 19:49:23::328,-0.01,8.00,-0.00,-0.01,0.00
2024/09/19/ 19:49:23::451,-0.02,8.00,-0.00,-0.02,0.00
2024/09/19/ 19:49:23::542,-0.02,7.90,-0.00,-0.02,0.00
2024/09/19/ 19:49:23::643,-0.03,7.90,-0.00,-0.02,0.00
2024/09/19/ 19:49:23::734,-0.04,8.00,-0.00,-0.04,0.00
2024/09/19/ 19:49:23::795,-0.04,8.00,-0.01,-0.04,0.00
2024/09/19/ 19:49:23::898,-0.03,8.20,-0.01,-0.03,0.00
2024/09/19/ 19:49:23::989,-0.03,8.00,-0.01,-0.03,0.00
2024/09/19/ 19:49:24::078,-0.03,8.10,-0.01,-0.03,0.00
2024/09/19/ 19:49:24::180,-0.03,8.10,-0.01,-0.03,0.00
2024/09/19/ 19:49:24::299,-0.03,8.10,-0.01,-0.03,0.00
2024/09/19/ 19:49:24::401,-0.03,8.00,-0.01,-0.03,0.00
2024/09/19/ 19:49:24::528,-0.03,7.90,-0.00,-0.03,0.00
2024/09/19/ 19:49:24::623,-0.03,8.10,-0.00,-0.02,0.00
2024/09/19/ 19:49:24::654,-0.03,8.10,-0.00,-0.03,0.00
2024/09/19/ 19:49:24::742,-0.03,8.00,-0.00,-0.03,0.00
2024/09/19/ 19:49:24::841,-0.04,8.10,-0.00,-0.04,0.00
2024/09/19/ 19:49:24::946,-0.04,8.10,-0.00,-0.04,0.00
2024/09/19/ 19:49:25::076,-0.04,8.00,-0.01,-0.03,0.00
2024/09/19/ 19:49:25::178,-0.04,8.00,-0.01,-0.03,0.00
2024/09/19/ 19:49:25::283,-0.04,8.00,-0.01,-0.03,0.00
2024/09/19/ 19:49:25::355,-0.04,8.00,-0.01,-0.03,0.00
2024/09/19/ 19:49:25::406,-0.04,8.00,-0.01,-0.04,0.00
2024/09/19/ 19:49:25::504,-0.05,8.00,-0.01,-0.04,0.00
2024/09/19/ 19:49:25::608,-0.05,8.10,-0.01,-0.04,0.00
2024/09/19/ 19:49:25::701,-0.05,8.00,-0.00,-0.04,0.00
2024/09/19/ 19:49:25::809,-0.05,7.90,-0.01,-0.04,0.00
2024/09/19/ 19:49:25::933,-0.05,8.00,-0.01,-0.04,0.00
2024/09/19/ 19:49:25::980,-0.04,8.00,-0.00,-0.04,0.00
2024/09/19/ 19:49:26::066,-0.04,8.00,-0.00,-0.04,0.00
2024/09/19/ 19:49:26::181,-0.05,8.00,-0.01,-0.04,0.00
2024/09/19/ 19:49:26::281,-0.05,8.00,-0.01,-0.04,0.00
2024/09/19/ 19:49:26::363,-0.05,7.90,-0.01,-0.04,0.00
2024/09/19/ 19:49:26::487,-0.05,8.00,-0.01,-0.04,0.00
2024/09/19/ 19:49:26::590,-0.05,8.10,-0.01,-0.04,0.00
2024/09/19/ 19:49:26::639,-0.04,8.00,-0.01,-0.04,0.00
2024/09/19/ 19:49:26::739,-0.04,8.10,-0.01,-0.04,0.00
2024/09/19/ 19:49:26::829,-0.05,8.00,-0.01,-0.04,0.00
2024/09/19/ 19:49:26::921,-0.04,8.10,-0.01,-0.04,0.00
2024/09/19/ 19:49:27::023,-0.04,7.90,-0.00,-0.04,0.00
2024/09/19/ 19:49:27::142,-0.04,8.10,-0.00,-0.04,0.00
2024/09/19/ 19:49:27::230,-0.04,8.00,-0.01,-0.03,0.00
2024/09/19/ 19:49:27::294,-0.04,8.00,-0.01,-0.04,0.00
2024/09/19/ 19:49:27::400,-0.04,8.10,-0.01,-0.03,0.00
2024/09/19/ 19:49:27::495,-0.04,8.00,-0.01,-0.03,0.00
2024/09/19/ 19:49:27::613,-0.04,7.90,-0.01,-0.04,0.00
2024/09/19/ 19:49:27::703,-0.04,8.00,-0.01,-0.03,0.00
2024/09/19/ 19:49:27::799,-0.05,7.80,-0.01,-0.03,0.00
2024/09/19/ 19:49:27::902,-0.04,8.00,-0.01,-0.04,0.00
2024/09/19/ 19:49:27::993,-0.04,7.90,-0.01,-0.03,0.00
2024/09/19/ 19:49:28::112,-0.04,8.00,-0.01,-0.03,0.00
2024/09/19/ 19:49:28::159,-0.04,8.00,-0.01,-0.03,0.00
2024/09/19/ 19:49:28::243,-0.04,8.00,-0.01,-0.03,0.00
2024/09/19/ 19:49:28::348,-0.04,7.80,-0.01,-0.03,0.00
2024/09/19/ 19:49:28::480,-0.04,7.90,-0.01,-0.03,0.00
2024/09/19/ 19:49:28::562,-0.04,8.00,-0.01,-0.03,0.00
2024/09/19/ 19:49:28::665,-0.04,8.10,-0.01,-0.03,0.00
2024/09/19/ 19:49:28::754,-0.04,8.00,-0.01,-0.03,0.00
2024/09/19/ 19:49:28::818,-0.04,8.00,-0.01,-0.03,0.00
2024/09/19/ 19:49:28::919,-0.04,7.90,-0.01,-0.03,0.00
2024/09/19/ 19:49:29::006,-0.04,7.90,-0.01,-0.03,0.00
2024/09/19/ 19:49:29::109,-0.05,8.10,-0.01,-0.04,0.00
2024/09/19/ 19:49:29::200,-0.05,7.90,-0.01,-0.03,0.00
2024/09/19/ 19:49:29::328,-0.04,8.00,-0.01,-0.03,0.00
2024/09/19/ 19:49:29::437,-0.04,7.90,-0.01,-0.03,0.00
2024/09/19/ 19:49:29::476,-0.05,8.00,-0.01,-0.04,0.00
2024/09/19/ 19:49:29::577,-0.05,8.00,-0.01,-0.04,0.00
2024/09/19/ 19:49:29::694,-0.05,8.00,-0.01,-0.04,0.00
2024/09/19/ 19:49:29::795,-0.05,8.10,-0.01,-0.04,0.00
2024/09/19/ 19:49:29::870,-0.05,8.00,-0.01,-0.04,0.00
2024/09/19/ 19:49:29::990,-0.05,8.00,-0.01,-0.04,0.00
2024/09/19/ 19:49:30::093,-0.05,8.10,-0.01,-0.04,0.00
2024/09/19/ 19:49:30::156,-0.05,7.90,-0.01,-0.04,0.00
2024/09/19/ 19:49:30::243,-0.05,8.00,-0.01,-0.04,0.00
