Used Foils:,stiff_foils
Waterspeed:,0.0
Frequency:,0.6
Heave Amplitude:,38
Pitch Amplitude:,40
Camber Amplitude,90
Pitch Phase,0
Camber Phase,0
Turn Rate,0
Test Duration, 10

Time,Fx,Fz,Mx,My,Mz
237.26962780952454,-0.21,27.49,4.96,0.04,0.01
237.45886063575745,-0.22,27.32,4.95,0.04,0.00
237.6473479270935,-0.22,27.24,4.96,0.04,0.00
237.83663368225098,-0.21,27.48,4.96,0.03,0.01
238.02569484710693,-0.20,27.37,4.95,0.04,0.01
238.2144718170166,-0.21,27.32,4.94,0.04,0.00
238.405690908432,-0.21,27.42,4.97,0.04,0.01
238.59220576286316,-0.32,26.71,5.02,0.11,0.00
238.7811620235443,0.00,28.13,4.66,-0.17,0.02
238.96977591514587,0.54,28.34,4.56,-0.24,0.04
239.15894293785095,0.52,27.21,4.69,-0.12,0.04
239.3479208946228,-0.10,27.45,4.97,0.02,0.01
239.5368287563324,-0.07,30.17,4.97,-0.08,0.01
239.7257947921753,0.42,32.53,4.93,-0.22,0.04
239.91480565071106,0.66,33.39,4.85,-0.29,0.05
240.10360193252563,0.30,29.64,5.11,0.03,0.03
240.29243087768555,-0.53,26.03,4.95,0.06,-0.01
240.48151874542236,0.15,28.53,4.66,-0.22,0.02
240.6705777645111,0.40,27.90,4.54,-0.21,0.04
240.85937571525574,0.60,27.12,4.80,-0.08,0.05
241.0478856563568,-0.17,27.65,5.06,-0.00,0.01
241.23691272735596,0.03,30.84,5.03,-0.09,0.02
241.42566776275635,0.43,32.72,4.86,-0.26,0.04
241.6148066520691,0.56,33.38,4.87,-0.28,0.05
241.8034439086914,0.22,27.37,5.13,0.12,0.03
241.99228763580322,-0.59,26.69,4.94,0.02,-0.01
242.1813907623291,0.09,28.19,4.74,-0.18,0.02
242.37030673027039,0.39,28.16,4.54,-0.24,0.04
242.55903792381287,0.48,26.95,4.80,-0.07,0.04
242.7481348514557,-0.30,27.74,4.99,-0.00,0.00
242.93693280220032,-0.04,30.94,4.95,-0.15,0.01
243.12567472457886,0.70,33.92,4.81,-0.35,0.05
243.31465983390808,0.79,33.22,4.95,-0.25,0.06
243.50377082824707,0.09,26.67,5.28,0.17,0.02
243.69279170036316,-0.46,27.38,4.88,-0.05,-0.01
243.88166403770447,0.16,28.11,4.73,-0.19,0.02
244.07037687301636,0.32,27.72,4.52,-0.21,0.03
244.2594609260559,0.46,27.09,4.92,-0.05,0.04
244.44820880889893,-0.25,28.15,4.94,-0.02,0.00
244.63736176490784,0.03,31.20,4.92,-0.15,0.02
244.82618498802185,0.57,33.58,4.83,-0.33,0.05
245.01518893241882,0.67,32.39,5.00,-0.18,0.05
245.20378184318542,-0.11,25.51,5.11,0.22,0.01
245.3930628299713,-0.28,27.59,4.84,-0.08,0.00
245.58208060264587,0.15,28.40,4.74,-0.19,0.02
245.77071690559387,0.38,27.80,4.56,-0.21,0.04
245.95974564552307,0.23,26.78,4.93,0.01,0.03
246.14882278442383,-0.19,28.59,4.96,-0.02,0.01
246.33771276474,0.17,31.98,4.90,-0.19,0.02
246.52697086334229,0.78,33.59,4.80,-0.34,0.06
246.71530675888062,0.22,30.67,4.97,-0.09,0.03
246.90416264533997,-0.50,25.28,5.05,0.18,-0.01
247.09356498718262,0.08,27.75,4.81,-0.10,0.02
