RX Date/Time,Fx(field 1),Fz(field 2),Mx(field 3),My(field 4),Mz(field 5)
2024/09/19/ 17:46:50::373,0.03,10.60,0.02,0.00,0.00
2024/09/19/ 17:46:50::503,0.03,10.60,0.03,0.00,0.00
2024/09/19/ 17:46:50::610,0.03,10.50,0.03,0.00,0.00
2024/09/19/ 17:46:50::625,0.03,10.60,0.03,0.00,0.00
2024/09/19/ 17:46:50::787,0.03,10.60,0.03,0.00,0.00
2024/09/19/ 17:46:50::788,0.03,10.50,0.03,0.00,0.00
2024/09/19/ 17:46:50::884,0.03,10.70,0.03,0.00,0.00
2024/09/19/ 17:46:50::984,0.03,10.70,0.03,0.00,0.00
2024/09/19/ 17:46:51::054,0.03,10.60,0.02,0.00,0.00
2024/09/19/ 17:46:51::160,0.03,10.70,0.02,0.00,0.00
2024/09/19/ 17:46:51::262,0.03,10.50,0.03,0.00,0.00
2024/09/19/ 17:46:51::359,0.03,10.70,0.03,0.00,0.00
2024/09/19/ 17:46:51::441,0.03,10.70,0.03,0.00,0.00
2024/09/19/ 17:46:51::528,0.03,10.60,0.03,0.00,0.00
2024/09/19/ 17:46:51::591,0.03,10.60,0.03,0.00,0.00
2024/09/19/ 17:46:51::690,0.03,10.70,0.03,0.00,0.00
2024/09/19/ 17:46:51::767,0.03,10.70,0.03,0.00,0.00
2024/09/19/ 17:46:51::876,0.03,10.70,0.02,0.00,0.00
2024/09/19/ 17:46:52::046,0.03,10.80,0.02,0.00,0.00
2024/09/19/ 17:46:52::063,0.03,10.70,0.03,0.00,0.00
2024/09/19/ 17:46:52::183,0.03,10.70,0.03,0.00,0.00
2024/09/19/ 17:46:52::248,0.03,10.70,0.02,0.01,0.00
2024/09/19/ 17:46:52::348,0.03,10.70,0.02,0.01,0.00
2024/09/19/ 17:46:52::439,0.03,10.90,0.02,0.00,0.00
2024/09/19/ 17:46:52::531,0.03,10.70,0.02,0.00,0.00
2024/09/19/ 17:46:52::653,0.03,10.80,0.03,0.00,0.00
2024/09/19/ 17:46:52::758,0.03,10.80,0.03,0.00,0.00
2024/09/19/ 17:46:52::872,0.03,10.70,0.03,0.01,0.00
2024/09/19/ 17:46:52::965,0.03,10.80,0.03,0.00,0.00
2024/09/19/ 17:46:53::001,0.03,10.70,0.03,0.00,0.00
2024/09/19/ 17:46:53::100,0.03,10.80,0.03,0.00,0.00
