Used Foils:,stiff_foils
Waterspeed:,0.0
Frequency:,0.7
Heave Amplitude:,40
Pitch Amplitude:,30
Camber Amplitude,90
Pitch Phase,0
Camber Phase,0
Turn Rate,0
Test Duration, 10

Time,Fx,Fz,Mx,My,Mz
300.30092215538025,0.29,-4.00,-1.41,-0.15,0.01
300.48980498313904,0.68,-2.04,-1.58,-0.26,0.03
300.6784899234772,0.56,-0.78,-1.69,-0.35,0.03
300.8671748638153,-0.01,-5.19,-1.30,0.03,-0.00
301.055948972702,-0.04,-7.42,-1.10,0.09,-0.00
301.2444589138031,-0.01,-6.66,-1.17,0.05,-0.00
301.4336860179901,-0.01,-6.55,-1.18,0.05,-0.00
301.62207102775574,-0.01,-6.33,-1.20,0.04,-0.00
301.81126284599304,0.00,-6.46,-1.18,0.05,-0.00
301.9993808269501,-0.00,-6.58,-1.17,0.06,-0.00
302.188111782074,0.10,-3.27,-1.47,-0.35,0.00
302.37768292427063,0.10,-4.22,-1.38,-0.24,0.00
302.56609892845154,-0.02,-6.01,-1.23,-0.07,-0.00
302.75445795059204,0.39,-3.68,-1.43,-0.17,0.02
302.94413208961487,0.71,-1.41,-1.63,-0.31,0.04
303.13223910331726,0.53,-0.90,-1.68,-0.33,0.03
303.32087898254395,0.01,-6.99,-1.14,0.16,0.00
303.5097758769989,-0.01,-5.60,-1.26,-0.15,-0.00
303.6983218193054,0.08,-3.14,-1.48,-0.35,0.00
303.89952087402344,0.03,-5.31,-1.29,-0.19,0.00
304.07553577423096,0.07,-5.21,-1.30,-0.08,0.00
304.2641010284424,0.56,-2.64,-1.53,-0.21,0.03
304.45313000679016,0.57,-0.53,-1.71,-0.40,0.03
304.6418538093567,0.26,-3.05,-1.49,-0.13,0.01
304.83080077171326,-0.04,-7.64,-1.08,0.19,-0.00
305.0196659564972,0.04,-3.76,-1.42,-0.28,0.00
305.20849895477295,0.08,-3.88,-1.42,-0.31,0.00
305.39697194099426,0.00,-5.68,-1.26,-0.13,-0.00
305.5858280658722,0.41,-3.32,-1.47,-0.18,0.02
305.77429604530334,0.76,-1.15,-1.66,-0.32,0.04
305.96270298957825,0.48,-0.49,-1.72,-0.39,0.02
306.15149092674255,0.11,-6.34,-1.20,0.15,0.01
306.3400819301605,-0.03,-6.23,-1.21,-0.08,-0.00
306.52906012535095,0.05,-3.12,-1.48,-0.31,0.00
306.71782088279724,0.08,-5.17,-1.30,-0.20,0.00
306.90670371055603,0.04,-6.00,-1.23,-0.08,0.00
307.0951428413391,0.50,-2.67,-1.53,-0.21,0.03
307.28396797180176,0.51,0.06,-1.77,-0.43,0.03
307.4727499485016,0.34,-2.20,-1.57,-0.22,0.02
307.66149282455444,-0.01,-8.29,-1.02,0.20,-0.00
307.85032081604004,0.03,-3.86,-1.42,-0.28,0.00
308.0388960838318,0.11,-3.63,-1.44,-0.31,0.01
308.2278048992157,0.01,-5.77,-1.25,-0.14,0.00
308.4162039756775,0.12,-4.56,-1.36,-0.11,0.01
308.6051330566406,0.55,-1.68,-1.62,-0.30,0.03
308.79464292526245,0.50,-0.06,-1.76,-0.42,0.03
308.98271799087524,0.19,-4.71,-1.34,0.05,0.01
309.1715130805969,-0.04,-6.92,-1.14,0.06,-0.00
309.36123991012573,0.07,-3.07,-1.49,-0.35,0.00
309.5487411022186,0.05,-4.68,-1.35,-0.24,0.00
309.7375328540802,0.00,-5.69,-1.25,-0.05,-0.00
309.92679595947266,0.23,-2.82,-1.51,-0.21,0.01
310.1151089668274,0.47,-0.80,-1.69,-0.36,0.02
