RX Date/Time,Fx(field 1),Fz(field 2),Mx(field 3),My(field 4),Mz(field 5)
2024/09/19/ 17:48:51::977,0.03,12.90,0.02,0.00,0.00
2024/09/19/ 17:48:52::163,0.03,13.00,0.02,0.00,0.00
2024/09/19/ 17:48:52::219,0.03,13.00,0.02,0.00,0.00
2024/09/19/ 17:48:52::307,0.03,12.80,0.02,0.00,0.00
2024/09/19/ 17:48:52::326,0.03,13.00,0.03,0.00,0.00
2024/09/19/ 17:48:52::439,0.03,13.00,0.03,0.00,0.00
2024/09/19/ 17:48:52::566,0.03,12.90,0.02,0.00,0.00
2024/09/19/ 17:48:52::665,0.03,12.90,0.02,0.00,0.00
2024/09/19/ 17:48:52::750,0.03,13.00,0.02,0.00,0.00
2024/09/19/ 17:48:52::893,0.03,13.00,0.02,0.00,0.00
2024/09/19/ 17:48:52::894,0.03,13.00,0.02,0.00,0.00
2024/09/19/ 17:48:53::058,0.03,13.00,0.02,0.00,0.00
2024/09/19/ 17:48:53::061,0.03,13.00,0.02,0.00,0.00
2024/09/19/ 17:48:53::172,0.03,12.90,0.02,0.01,0.00
2024/09/19/ 17:48:53::276,0.03,12.90,0.02,0.00,0.00
2024/09/19/ 17:48:53::323,0.03,12.90,0.02,0.00,0.00
2024/09/19/ 17:48:53::414,0.03,13.00,0.02,0.00,0.00
2024/09/19/ 17:48:53::514,0.03,13.00,0.02,0.00,0.00
2024/09/19/ 17:48:53::643,0.03,13.00,0.02,0.00,0.00
2024/09/19/ 17:48:53::752,0.03,12.90,0.02,0.01,0.00
2024/09/19/ 17:48:53::849,0.03,12.90,0.02,0.00,0.00
2024/09/19/ 17:48:53::946,0.03,13.00,0.02,0.01,0.00
2024/09/19/ 17:48:54::018,0.03,13.00,0.02,0.00,0.00
2024/09/19/ 17:48:54::154,0.03,13.00,0.02,0.00,0.00
2024/09/19/ 17:48:54::170,0.03,13.10,0.02,0.00,0.00
2024/09/19/ 17:48:54::270,0.03,12.90,0.02,0.00,0.00
2024/09/19/ 17:48:54::365,0.03,13.00,0.02,0.00,0.00
2024/09/19/ 17:48:54::466,0.03,13.00,0.02,0.00,0.00
2024/09/19/ 17:48:54::576,0.03,13.00,0.02,0.00,0.00
