Used Foils:,wide_stiff_for_real
Waterspeed:,0.0
Frequency:,0.8
Heave Amplitude:,38
Pitch Amplitude:,55
Camber Amplitude,90
Pitch Phase,0
Camber Phase,0
Turn Rate,0
Test Duration,10

Time,Fx,Fz,Mx,My,Mz
94.29384088516235,0.02,23.10,0.01,0.01,0.00
94.4831178188324,0.04,23.20,0.03,0.01,0.00
94.67266201972961,0.04,23.30,0.03,0.01,0.00
94.86151003837585,0.02,23.30,0.01,0.01,-0.00
95.05077409744263,0.02,23.30,0.01,0.01,0.00
95.24054312705994,0.01,24.70,0.00,0.01,-0.00
95.4294970035553,-0.02,24.10,-0.03,0.01,-0.00
95.61870098114014,-0.33,23.90,-0.26,-0.06,-0.01
95.80774092674255,1.58,24.60,1.12,0.46,0.03
95.99710488319397,1.37,24.70,1.20,0.17,0.05
96.1865029335022,0.39,23.60,0.33,0.06,0.01
96.37549185752869,1.71,24.60,1.25,0.46,0.04
96.56505799293518,1.73,24.60,1.39,0.34,0.05
96.75382399559021,-1.07,24.30,-0.91,-0.16,-0.04
96.94300818443298,-0.05,23.90,-0.01,-0.04,0.00
97.13203382492065,1.70,24.40,1.43,0.27,0.06
97.32144713401794,0.38,22.80,0.24,0.13,0.01
97.5107319355011,1.17,24.30,1.03,0.14,0.05
97.70016384124756,1.73,24.60,1.33,0.39,0.05
97.88901114463806,0.90,24.50,0.82,0.08,0.04
98.07844805717468,-0.77,23.80,-0.72,-0.04,-0.04
98.26761603355408,0.18,24.30,0.12,0.05,0.00
98.456857919693,1.93,24.50,1.21,0.73,0.02
98.64618396759033,0.22,23.00,0.20,0.02,0.01
98.83537197113037,1.24,24.70,0.91,0.33,0.03
99.02465295791626,1.60,25.50,1.17,0.43,0.04
99.21371984481812,-0.37,25.20,-0.38,0.01,-0.02
99.40313005447388,-0.15,24.70,-0.04,-0.11,0.00
99.5922999382019,0.78,24.80,0.68,0.11,0.03
99.78181314468384,0.69,23.60,0.56,0.13,0.02
99.97067308425903,0.80,24.60,0.47,0.33,0.01
100.16078305244446,1.77,25.10,1.12,0.66,0.02
100.34948801994324,1.36,24.30,1.09,0.28,0.04
100.53877592086792,-1.27,22.70,-0.98,-0.29,-0.04
100.72832107543945,-0.13,23.00,-0.12,-0.01,-0.01
100.91728281974792,1.92,24.20,1.38,0.54,0.04
101.10674118995667,0.12,22.50,0.08,0.04,0.00
101.29565286636353,1.28,24.20,1.02,0.26,0.04
101.48510813713074,1.62,24.40,1.05,0.57,0.02
101.6746871471405,0.54,24.40,0.31,0.23,0.00
101.86374688148499,-0.35,23.80,-0.30,-0.06,-0.01
102.05265402793884,0.90,24.20,0.56,0.34,0.01
102.24243593215942,1.39,23.90,1.12,0.28,0.04
102.43143105506897,0.30,22.70,0.24,0.06,0.01
102.62087106704712,1.44,24.00,1.07,0.37,0.04
102.80987405776978,1.70,23.90,1.37,0.33,0.05
102.99916696548462,-0.83,23.90,-0.74,-0.09,-0.03
103.18856406211853,-0.02,23.90,-0.00,-0.02,0.00
103.377601146698,1.33,23.90,0.91,0.42,0.03
103.56690812110901,0.26,22.10,0.13,0.13,0.00
103.756422996521,0.89,24.00,0.81,0.08,0.04
103.94549417495728,1.54,24.00,1.06,0.48,0.03
