Iteration,Frequency,Heave Amplitude,Pitch Amplitude,Camber Amplitude,Pitch Phase,Camber Phase,Turn Rate,Function Value
1,0.2740328312692828,38,43.288521645527794,0,1.4058741201975378,-0.04788783609900693,0,-0.0991
2,0.32821457484464295,38,23.860666827233253,0,0.6244288508930123,-1.193355296247336,0,0.4038
3,0.39407036383994604,38,35.818443265023426,0,0.9992319050543477,0.5747016224457402,0,-0.0711
4,0.23438238263838276,38,45.0,0,0.9623322756186938,0.7811967012737953,0,-0.0115
5,0.6,38,20.0,0,1.1809476745225538,0.2630631197968376,0,-0.1130
6,0.2,38,45.0,0,-1.57,0.18052513664415448,0,-0.0912
7,0.6,38,42.89237525430033,0,1.57,1.57,0,0.0021
8,0.2,38,45.0,0,1.57,0.1501028548615615,0,0.0044
9,0.3863550352932139,38,21.28769778521438,0,-1.2394217332681567,-0.8778798823111031,0,-0.0297
10,0.33907459165812986,38,32.50434277094541,0,-0.5898855449250018,1.4244141696119665,0,0.3654
11,0.555219836038412,38,36.168763829684295,0,-1.42819965612005,1.2673210684890306,0,-0.2016
12,0.5465896346464052,38,21.02613906533904,0,0.007232336114734839,-1.3599324014608687,0,-0.3062
13,0.2413959605900103,38,40.677520453668045,0,0.11780990194228469,0.9359219298848667,0,-0.3334
14,0.6,38,45.0,0,0.074399284897817,-1.57,0,-0.2569
15,0.2560065369364861,38,20.0,0,0.1577956189246832,0.2819616296018501,0,-0.3265
16,0.3915650428586759,38,25.93835523111307,0,-0.08330334609684331,1.3241191557675667,0,-0.3126
17,0.2,38,20.0,0,0.057980687132834774,1.57,0,-0.3865
18,0.5254530641650301,38,20.0,0,0.2666115310789059,1.57,0,-0.2411
19,0.48248804209308377,38,20.0,0,0.006796512230264673,1.57,0,-0.2826
20,0.2,38,45.0,0,-0.013653991055303072,-1.57,0,-0.3444
21,0.2,38,20.0,0,-0.21250145763770156,-1.4131889676744087,0,-0.3214
22,0.2,38,20.0,0,-0.11628635324055003,-1.483260879351051,0,-0.3237
23,0.6,38,45.0,0,-0.2435867450440341,0.6736727596207921,0,-0.2956
24,0.6,38,44.419034344609656,0,-0.9633365123198135,-1.567831107628483,0,-0.1815
25,0.2,38,20.76416848004251,0,-0.317295608290447,0.5564228749053377,0,-0.2397
26,0.2,38,20.0,0,0.05227654063633702,-0.05101454261894589,0,-0.2416
27,0.6,38,43.18159054026435,0,-0.160334796585613,0.4820390898052651,0,-0.2385
28,0.2,38,44.18813808448708,0,0.18687927538988092,0.5201481451013426,0,-0.3520
29,0.2,38,27.031033665180903,0,-1.0665073660177706,0.6645474561142815,0,-0.3603
30,0.6,38,42.112685786482096,0,-1.0736422523575622,1.031620830475992,0,-0.2151
31,0.2,38,23.139028547659226,0,-1.0217441403687844,0.9095110378237095,0,-0.3648
32,0.2,38,39.24591654856694,0,-1.0203581521586655,-1.5138895045953034,0,-0.3360
33,0.6,38,25.344955310242717,0,0.17674088106886465,1.4962991991703805,0,-0.2889
34,0.2,38,42.23423651022783,0,0.21766559220155846,-1.3695476506633453,0,-0.2576
35,0.2,38,27.069052472884167,0,-1.0397943089153034,1.5427284365887421,0,-0.2820
36,0.2,38,41.636360144144255,0,-0.0557142679543865,1.0944889834686091,0,-0.2852
37,0.2,38,30.846985911044445,0,-0.20996440065228428,1.1220650560416845,0,-0.2971
38,0.2,38,20.71608976624533,0,-0.8879894414926162,-0.5072790675279661,0,-0.3053
39,0.2,38,29.543145634263936,0,-0.965199658897482,-0.31500642400424406,0,-0.2921
40,0.2,38,22.80659065800493,0,0.36359207013817363,1.4137299621519814,0,-0.3057
41,0.6,38,44.44455489531946,0,0.39226831907304405,0.62955844699887,0,-0.2596
42,0.2,38,38.17181049725224,0,-0.8164409948431842,0.6964696138202291,0,-0.3025
43,0.4268656400042752,38,23.68926776604596,0,-0.1965495628850169,0.37156271784482975,0,-0.4392
44,0.4493249826390448,38,34.564595890011844,0,-0.9583863763089722,0.43564449211953105,0,-0.2910
45,0.24410260336365117,38,21.31899602285386,0,-0.7603031830379576,0.2043059146221622,0,-0.2206
46,0.43723045322881227,38,43.6715613087421,0,0.29418010332429434,0.6546685077233068,0,-0.2454
47,0.41647824530080707,38,27.721146132188608,0,-0.3778421411909163,1.0143839511509423,0,-0.2935
48,0.4954044472383923,38,22.270773701316482,0,-1.57,-1.1574142494929418,0,-0.2227
49,0.49730466953277097,38,40.89992503365035,0,1.57,-1.1942040285618805,0,-0.1161
50,0.5150098363974116,38,22.978658096124523,0,-0.6472405404076402,-0.7562974282965649,0,-0.2848
51,0.4485665590305367,38,26.69080736324107,0,-0.33696149226271377,0.4394385379290979,0,-0.2945
52,0.5623889124575372,38,42.80071373163774,0,0.6615056219959741,0.7845412366113373,0,-0.2173
53,0.4374763481022047,38,41.259814724036076,0,-1.57,-1.395093045332517,0,-0.2106
54,0.4126612732510716,38,28.7536277956083,0,0.0975443879939375,0.3044313314026734,0,-0.2892
55,0.4450628505975388,38,40.61616264293063,0,1.57,-1.5218260936566603,0,-0.1538
56,0.5669801287529737,38,34.822246862005265,0,-0.40296285502665397,1.5232116151695816,0,-0.2741
57,0.480701689105755,38,20.520805599135745,0,-0.7576409504304495,-1.4333677457934457,0,-0.2880
58,0.22567169253620498,38,24.04857728383108,0,-0.24973522274242765,0.639214250647486,0,-0.3300
59,0.2747164210462247,38,43.79752420835015,0,-1.57,-1.542355694780011,0,-0.2431
