empty_row,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambered_foils,0.682,0.516,0.435,0.602,0.640,0.413,1.135,0.458,0.427,1.088,0.854,0.842,0.963,0.804,0.755,0.488,1.112,0.474,1.068,1.033,0.763,0.871,0.810,1.011,0.442,1.077,0.950,0.466,1.135,0.327,1.082,0.483,0.465,0.777,0.943,0.650,0.706,0.532,0.564,0.511
Wide_off,0.872,1.180,1.330,1.096,0.977,0.883,1.700,0.385,0.881,1.524,1.306,1.488,1.629,1.223,1.542,0.864,1.988,0.657,1.227,1.847,0.990,1.632,1.482,2.102,0.792,1.825,1.054,0.730,1.653,0.844,1.334,0.875,0.528,1.299,1.527,0.917,1.067,1.224,0.687,1.232
wide_stiff,1.068,0.955,1.134,0.698,1.222,1.421,2.164,0.705,2.015,0.968,1.401,1.519,1.134,1.259,1.251,1.453,0.420,0.935,1.671,0.811,1.581,1.147,0.961,0.617,1.487,0.707,1.923,0.786,2.210,1.226,0.728,2.212,1.561,0.951,1.675,1.151,1.172,0.628,1.261,0.848
wide_stiff_sharklets,1.692,1.163,1.390,0.978,1.870,0.706,1.461,2.130,1.017,1.814,0.527,1.014,1.548,1.400,1.523,1.191,1.154,0.887,1.380,1.291,1.364,0.663,1.346,0.868,1.272,1.697,0.970,1.475,1.114,0.763,1.243,1.529,1.067,1.657,1.687,2.020,0.870,2.172,1.559,0.811
Cambered_balloon,0.696,0.741,0.596,0.681,0.755,0.442,1.184,0.468,0.468,1.064,0.894,0.998,0.944,0.858,0.762,0.515,1.017,0.506,1.035,1.101,0.854,0.896,0.846,1.050,0.543,1.124,0.941,0.530,1.109,0.401,0.919,0.467,0.487,0.928,0.889,0.730,0.675,0.660,0.643,0.625
Cambered_balloon_off,0.387,0.468,0.512,0.432,0.452,0.323,0.897,0.314,0.357,0.892,0.563,0.664,0.691,0.555,0.917,0.321,1.127,0.278,0.844,1.010,0.514,0.810,0.877,1.023,0.299,1.065,0.745,0.329,0.931,0.330,0.894,0.330,0.297,0.611,0.723,0.351,0.516,0.521,0.348,0.510
stingray,0.514,0.824,0.794,0.777,0.794,0.608,1.346,0.558,0.633,1.277,0.911,1.061,1.192,0.711,1.062,0.640,0.859,0.590,0.865,1.315,0.611,1.177,1.166,1.258,0.595,1.254,0.737,0.552,0.559,1.034,0.603,0.477,0.779,1.176,0.651,0.863,0.849,0.439,0.846
Stiff_foils,0.611,1.428,0.590,1.094,1.452,1.293,1.009,1.222,1.217,1.260,0.647,1.556,0.551,0.714,1.409,0.940,0.953,0.839,0.914,0.885,0.952,0.644,0.909,0.845,0.985,1.174,1.296,1.575,0.656,1.294,0.682,0.562,1.360,0.658,1.517,0.846,0.630,0.980,1.269,1.173
