latitude,longitude,velocity,time,voltage,current
4753.64746094,1132.21313477,0.00000000,2454.00000000,16.62400055,-117.09999847
4753.64697266,1132.21350098,0.15200000,2956.00000000,16.62400055,-147.19999695
4753.64697266,1132.21350098,0.15200000,3458.00000000,16.62000084,-159.69999695
4753.64648438,1132.21411133,0.44200000,3959.00000000,16.59600067,-465.00000000
4753.64648438,1132.21411133,0.44200000,4460.00000000,16.62800026,-124.69999695
4753.63769531,1132.20837402,0.00000000,1916.00000000,16.63599968,-105.69999695
4753.64013672,1132.20886230,0.06800000,2417.00000000,16.63599968,-116.50000000
4753.64013672,1132.20886230,0.06800000,2918.00000000,16.62800026,-153.30000305
4753.64208984,1132.20935059,0.23400000,3419.00000000,16.63199997,-152.30000305
4753.64208984,1132.20935059,0.23400000,3920.00000000,16.63199997,-152.10000610
4753.64160156,1132.20898438,0.05900000,4421.00000000,16.62800026,-152.50000000
4753.64160156,1132.20898438,0.05900000,4922.00000000,16.62800026,-119.90000153
4753.64160156,1132.20874023,0.05400000,5423.00000000,16.62800026,-150.10000610
4753.64160156,1132.20874023,0.05400000,5924.00000000,16.63199997,-104.90000153
4753.64160156,1132.20861816,0.11900000,6425.00000000,16.62800026,-158.10000610
4753.64160156,1132.20861816,0.11900000,6926.00000000,16.62800026,-200.80000305
4753.64111328,1132.20886230,0.17299999,7427.00000000,16.62800026,-197.39999390
4753.64111328,1132.20886230,0.17299999,7928.00000000,16.62800026,-155.30000305
4753.64111328,1132.20922852,0.14800000,8429.00000000,16.62800026,-187.00000000
4753.64111328,1132.20922852,0.14800000,8931.00000000,16.62800026,-132.89999390
4753.64111328,1132.20959473,0.11400000,9432.00000000,16.62800026,-229.80000305
4753.64111328,1132.20959473,0.11400000,9933.00000000,16.61599922,-326.79998779
4753.64111328,1132.20996094,0.32400000,10434.00000000,16.63199997,-161.60000610
4753.64111328,1132.20996094,0.32400000,10936.00000000,16.62000084,-270.20001221
4753.64160156,1132.21020508,0.19499999,11437.00000000,16.62400055,-217.19999695
4753.64160156,1132.21020508,0.19499999,11938.00000000,16.61599922,-372.70001221
4753.64160156,1132.21032715,0.12800001,12439.00000000,16.62000084,-282.50000000
4753.64160156,1132.21032715,0.12800001,12940.00000000,16.63199997,-113.50000000
4753.64160156,1132.21032715,0.16599999,13441.00000000,16.62400055,-220.60000610
4753.64160156,1132.21032715,0.16599999,13942.00000000,16.62800026,-153.10000610
4753.64160156,1132.21044922,0.13699999,14444.00000000,16.62800026,-195.80000305
4753.64160156,1132.21044922,0.13699999,14945.00000000,16.62800026,-166.89999390
4753.64160156,1132.21057129,0.07800000,15446.00000000,16.62400055,-166.39999390
4753.64160156,1132.21057129,0.07800000,15947.00000000,16.61199951,-407.89999390
4753.64160156,1132.21069336,0.13900000,16448.00000000,16.62400055,-172.60000610
4753.64160156,1132.21069336,0.13900000,16949.00000000,16.62800026,-138.39999390
4753.64160156,1132.21105957,0.04100000,17450.00000000,16.62000084,-263.60000610
4753.64160156,1132.21105957,0.04100000,17951.00000000,16.62000084,-216.60000610
4753.64208984,1132.21142578,0.05200000,18452.00000000,16.62800026,-114.59999847
4753.64208984,1132.21142578,0.05200000,18953.00000000,16.62800026,-172.10000610
4753.64208984,1132.21154785,0.05400000,19454.00000000,16.61599922,-303.29998779
4753.64208984,1132.21154785,0.05400000,19955.00000000,16.62400055,-189.39999390
4753.64208984,1132.21166992,0.06700000,20456.00000000,16.62400055,-207.69999695
4753.64208984,1132.21166992,0.06700000,20957.00000000,16.62000084,-257.50000000
4753.64208984,1132.21166992,0.19200000,21458.00000000,16.62400055,-202.39999390
4753.64208984,1132.21166992,0.19200000,21959.00000000,16.62800026,-133.80000305
4753.64208984,1132.21179199,0.19000000,22460.00000000,16.62400055,-205.60000610
4753.64208984,1132.21179199,0.19000000,22961.00000000,16.62400055,-186.19999695
4753.64208984,1132.21179199,0.23500000,23462.00000000,16.62800026,-181.30000305
4753.64208984,1132.21179199,0.23500000,23963.00000000,16.62800026,-173.30000305
4753.64208984,1132.21179199,0.06400000,24464.00000000,16.62000084,-187.89999390
4753.64208984,1132.21179199,0.06400000,24965.00000000,16.62400055,-177.69999695
4753.64208984,1132.21166992,0.16900000,25466.00000000,16.62000084,-198.69999695
4753.64208984,1132.21166992,0.16900000,25967.00000000,16.62800026,-153.10000610
4753.64208984,1132.21166992,0.06600000,26468.00000000,16.62800026,-199.89999390
4753.64208984,1132.21166992,0.06600000,26969.00000000,16.62400055,-147.39999390
4753.64208984,1132.21154785,0.08900000,27470.00000000,16.62400055,-198.80000305
4753.64208984,1132.21154785,0.08900000,27971.00000000,16.62400055,-193.10000610
4753.64208984,1132.21154785,0.09300000,28472.00000000,16.62800026,-113.69999695
4753.64208984,1132.21154785,0.09300000,28974.00000000,16.62800026,-140.69999695
4753.64208984,1132.21154785,0.03900000,29475.00000000,16.62800026,-148.69999695
4753.64208984,1132.21154785,0.03900000,29977.00000000,16.62800026,-153.30000305
4753.64208984,1132.21154785,0.05800000,30478.00000000,16.62400055,-156.10000610
4753.64208984,1132.21154785,0.05800000,30979.00000000,16.62400055,-193.60000610
4753.64208984,1132.21166992,0.39300001,31480.00000000,16.62000084,-194.10000610
4753.64208984,1132.21166992,0.39300001,31981.00000000,16.62000084,-192.80000305
4753.64208984,1132.21154785,0.36100000,32482.00000000,16.62400055,-154.30000305
4753.64208984,1132.21154785,0.36100000,32984.00000000,16.62800026,-156.19999695
4753.64160156,1132.21142578,0.09600000,33485.00000000,16.62400055,-135.89999390
