latitude,longitude,velocity,time,voltage,current
4753.63867188,1132.21105957,1.22599995,4623.00000000,1.03999996,0.60000002
4753.63867188,1132.21105957,1.22599995,5124.00000000,1.03600001,0.20000000
4753.63671875,1132.20886230,0.43300000,5625.00000000,1.03999996,0.50000000
4753.63671875,1132.20886230,0.43300000,6126.00000000,1.04400003,0.80000001
4753.63867188,1132.20727539,0.14800000,6627.00000000,1.03999996,0.40000001
4753.63867188,1132.20727539,0.14800000,7128.00000000,1.03999996,0.50000000
4753.63964844,1132.20690918,0.18300000,7629.00000000,1.03999996,0.69999999
4753.63964844,1132.20690918,0.18300000,8130.00000000,1.04400003,0.40000001
4753.63964844,1132.20703125,0.21400000,8631.00000000,1.03999996,0.40000001
4753.63964844,1132.20703125,0.21400000,9132.00000000,1.03999996,0.40000001
4753.63964844,1132.20739746,0.17299999,9633.00000000,1.04400003,0.50000000
4753.63964844,1132.20739746,0.17299999,10134.00000000,1.03999996,0.60000002
4753.64013672,1132.20764160,0.15200000,10635.00000000,1.03999996,0.60000002
4753.64013672,1132.20764160,0.15200000,11136.00000000,1.04400003,0.40000001
4753.64013672,1132.20825195,0.16400000,11637.00000000,1.04400003,0.40000001
4753.64013672,1132.20825195,0.16400000,12138.00000000,1.04400003,0.30000001
4753.64062500,1132.21008301,0.08600000,12640.00000000,1.04400003,0.50000000
4753.64062500,1132.21008301,0.08600000,13141.00000000,1.04400003,0.69999999
4753.64062500,1132.21020508,0.08300000,13642.00000000,1.04400003,0.69999999
4753.64062500,1132.21020508,0.08300000,14143.00000000,1.04400003,0.30000001
4753.64111328,1132.21008301,0.64399999,14644.00000000,1.04400003,0.50000000
4753.64111328,1132.21008301,0.64399999,15145.00000000,1.04799998,0.60000002
4753.64111328,1132.20959473,0.80900002,15646.00000000,1.04400003,0.69999999
4753.64111328,1132.20959473,0.80900002,16147.00000000,1.04799998,0.69999999
4753.64062500,1132.20837402,0.16300000,16649.00000000,1.04400003,0.60000002
4753.64062500,1132.20837402,0.16300000,17150.00000000,1.04400003,0.40000001
4753.64013672,1132.20690918,0.20299999,17652.00000000,1.04400003,0.69999999
4753.64013672,1132.20690918,0.20299999,18153.00000000,1.04400003,0.80000001
4753.64013672,1132.20690918,0.20299999,18654.00000000,1.04400003,0.60000002
4753.64013672,1132.20690918,0.20299999,19155.00000000,1.04400003,0.60000002
4753.64013672,1132.20690918,0.20299999,19656.00000000,1.04400003,0.50000000
4753.64013672,1132.20690918,0.20299999,20157.00000000,1.04400003,0.60000002
4753.64013672,1132.20690918,0.20299999,20658.00000000,1.04400003,0.50000000
4753.64013672,1132.20690918,0.20299999,21159.00000000,1.03999996,0.40000001
4753.64013672,1132.20690918,0.20299999,21661.00000000,1.04400003,0.60000002
4753.64013672,1132.20690918,0.20299999,22162.00000000,1.04400003,0.60000002
4753.64013672,1132.20690918,0.20299999,22663.00000000,1.04400003,0.30000001
4753.64013672,1132.20690918,0.20299999,23164.00000000,1.04400003,0.50000000
4753.64013672,1132.20690918,0.20299999,23666.00000000,1.04400003,0.40000001
4753.64013672,1132.20690918,0.20299999,24167.00000000,1.04400003,0.30000001
4753.64013672,1132.20690918,0.20299999,24668.00000000,1.04400003,0.40000001
4753.64013672,1132.20690918,0.20299999,25169.00000000,1.04400003,0.60000002
4753.64013672,1132.20690918,0.20299999,25670.00000000,1.04400003,0.40000001
4753.64013672,1132.20690918,0.20299999,26171.00000000,1.04400003,0.30000001
4753.64013672,1132.20690918,0.20299999,26672.00000000,1.04400003,0.30000001
4753.64013672,1132.20690918,0.20299999,27173.00000000,1.04400003,0.50000000
4753.64013672,1132.20690918,0.20299999,27674.00000000,1.04400003,0.30000001
4753.64013672,1132.20690918,0.20299999,28176.00000000,1.04400003,0.30000001
4753.64013672,1132.20690918,0.20299999,28678.00000000,1.04400003,0.20000000
4753.64013672,1132.20690918,0.20299999,29179.00000000,1.04400003,0.60000002
4753.64013672,1132.20690918,0.20299999,29680.00000000,1.04799998,0.50000000
4753.64013672,1132.20690918,0.20299999,30181.00000000,1.04799998,0.40000001
4753.64013672,1132.20690918,0.20299999,30682.00000000,1.04400003,0.50000000
4753.64013672,1132.20690918,0.20299999,31183.00000000,1.04799998,0.40000001
4753.64013672,1132.20690918,0.20299999,31685.00000000,1.04400003,0.69999999
4753.64013672,1132.20690918,0.20299999,32186.00000000,1.04799998,0.60000002
4753.64013672,1132.20690918,0.20299999,32687.00000000,1.04400003,0.30000001
4753.64013672,1132.20690918,0.20299999,33188.00000000,1.04799998,0.60000002
4753.64013672,1132.20690918,0.20299999,33689.00000000,1.04799998,0.60000002
4753.64013672,1132.20690918,0.20299999,34190.00000000,1.04799998,0.40000001
4753.64013672,1132.20690918,0.20299999,34691.00000000,1.04400003,0.30000001
4753.64013672,1132.20690918,0.20299999,35193.00000000,1.04799998,0.50000000
4753.64013672,1132.20690918,0.20299999,35694.00000000,1.04799998,0.20000000
4753.64013672,1132.20690918,0.20299999,36195.00000000,1.04400003,0.50000000
4753.64013672,1132.20690918,0.20299999,36696.00000000,1.04799998,0.50000000
4753.64013672,1132.20690918,0.20299999,37197.00000000,1.04799998,0.50000000
4753.64013672,1132.20690918,0.20299999,37698.00000000,1.04400003,0.40000001
4753.64013672,1132.20690918,0.20299999,38200.00000000,1.04400003,0.60000002
4753.64013672,1132.20690918,0.20299999,38701.00000000,1.04400003,0.60000002
4753.64013672,1132.20690918,0.20299999,39202.00000000,1.04799998,0.50000000
4753.64013672,1132.20690918,0.20299999,39703.00000000,1.04400003,0.30000001
4753.64013672,1132.20690918,0.20299999,40204.00000000,1.04799998,0.40000001
4753.64013672,1132.20690918,0.20299999,40705.00000000,1.04400003,0.50000000
4753.64013672,1132.20690918,0.20299999,41206.00000000,1.04799998,0.50000000
4753.64013672,1132.20690918,0.20299999,41708.00000000,1.04400003,0.60000002
4753.64013672,1132.20690918,0.20299999,42209.00000000,1.04799998,0.50000000
4753.64013672,1132.20690918,0.20299999,42710.00000000,1.04799998,0.40000001
4753.64013672,1132.20690918,0.20299999,43211.00000000,1.04400003,0.40000001
4753.64013672,1132.20690918,0.20299999,43712.00000000,1.04799998,0.40000001
4753.64013672,1132.20690918,0.20299999,44213.00000000,1.04799998,0.30000001
4753.64013672,1132.20690918,0.20299999,44714.00000000,1.04400003,0.69999999
4753.64013672,1132.20690918,0.20299999,45216.00000000,1.04799998,0.40000001
4753.64013672,1132.20690918,0.20299999,45717.00000000,1.04799998,0.40000001
4753.64013672,1132.20690918,0.20299999,46218.00000000,1.04799998,0.40000001
4753.64013672,1132.20690918,0.20299999,46719.00000000,1.04400003,0.30000001
4753.64013672,1132.20690918,0.20299999,47220.00000000,1.04799998,0.20000000
4753.64013672,1132.20690918,0.20299999,47721.00000000,1.04799998,0.40000001
4753.64013672,1132.20690918,0.20299999,48222.00000000,1.04799998,0.80000001
4753.64013672,1132.20690918,0.20299999,48723.00000000,1.04799998,0.30000001
4753.64013672,1132.20690918,0.20299999,49224.00000000,1.04799998,0.40000001
4753.64013672,1132.20690918,0.20299999,49725.00000000,1.04400003,0.50000000
4753.64013672,1132.20690918,0.20299999,50226.00000000,1.04799998,0.40000001
4753.64013672,1132.20690918,0.20299999,50727.00000000,1.04799998,0.50000000
4753.64013672,1132.20690918,0.20299999,51228.00000000,1.04799998,0.50000000
4753.64013672,1132.20690918,0.20299999,51729.00000000,1.04400003,0.40000001
4753.64013672,1132.20690918,0.20299999,52230.00000000,1.04400003,0.40000001
4753.64013672,1132.20690918,0.20299999,52731.00000000,1.04400003,0.30000001
4753.64013672,1132.20690918,0.20299999,53232.00000000,1.04799998,0.60000002
4753.64013672,1132.20690918,0.20299999,53734.00000000,1.04799998,0.50000000
4753.64013672,1132.20690918,0.20299999,54235.00000000,1.04799998,0.50000000
4753.64013672,1132.20690918,0.20299999,54737.00000000,1.04799998,0.60000002
4753.64013672,1132.20690918,0.20299999,55239.00000000,1.04400003,0.80000001
4753.64013672,1132.20690918,0.20299999,55740.00000000,1.04400003,0.60000002
4753.64013672,1132.20690918,0.20299999,56242.00000000,1.04400003,0.60000002
4753.64013672,1132.20690918,0.20299999,56743.00000000,1.04799998,0.80000001
4753.64013672,1132.20690918,0.20299999,57244.00000000,1.04799998,0.80000001
4753.64013672,1132.20690918,0.20299999,57746.00000000,1.04799998,0.40000001
4753.64013672,1132.20690918,0.20299999,58248.00000000,1.04799998,0.80000001
4753.64013672,1132.20690918,0.20299999,58750.00000000,1.04799998,0.60000002
4753.64013672,1132.20690918,0.20299999,59252.00000000,1.04799998,0.30000001
4753.64013672,1132.20690918,0.20299999,59753.00000000,1.04799998,0.50000000
4753.64013672,1132.20690918,0.20299999,60254.00000000,1.04799998,0.69999999
4753.64013672,1132.20690918,0.20299999,60756.00000000,1.04799998,0.50000000
4753.64013672,1132.20690918,0.20299999,61257.00000000,1.04799998,0.80000001
4753.64013672,1132.20690918,0.20299999,61758.00000000,1.04799998,0.50000000
4753.64013672,1132.20690918,0.20299999,62259.00000000,1.04799998,0.40000001
4753.64013672,1132.20690918,0.20299999,62760.00000000,1.04799998,0.69999999
0.00000000,0.00000000,0.00000000,1419.00000000,1.04400003,0.60000002
0.00000000,0.00000000,0.00000000,1920.00000000,1.04400003,0.50000000
0.00000000,0.00000000,0.00000000,2421.00000000,1.03999996,0.40000001
0.00000000,0.00000000,0.00000000,2922.00000000,1.04400003,0.69999999
0.00000000,0.00000000,0.00000000,3423.00000000,1.04400003,0.50000000
0.00000000,0.00000000,0.00000000,3924.00000000,1.04799998,0.50000000
0.00000000,0.00000000,0.00000000,4425.00000000,1.04400003,0.69999999
0.00000000,0.00000000,0.00000000,4927.00000000,1.04400003,0.60000002
0.00000000,0.00000000,0.00000000,5429.00000000,1.04400003,0.50000000
0.00000000,0.00000000,0.00000000,5930.00000000,1.04400003,0.69999999
0.00000000,0.00000000,0.00000000,6431.00000000,1.04400003,0.40000001
0.00000000,0.00000000,0.00000000,6932.00000000,1.04799998,0.69999999
0.00000000,0.00000000,0.00000000,7433.00000000,1.04400003,0.30000001
0.00000000,0.00000000,0.00000000,7935.00000000,1.04400003,0.30000001
0.00000000,0.00000000,0.00000000,8437.00000000,1.04400003,0.40000001
0.00000000,0.00000000,0.00000000,8939.00000000,1.04799998,0.60000002
0.00000000,0.00000000,0.00000000,9441.00000000,1.04799998,0.20000000
0.00000000,0.00000000,0.00000000,9942.00000000,1.04400003,0.69999999
0.00000000,0.00000000,0.00000000,10443.00000000,1.04400003,0.20000000
0.00000000,0.00000000,0.00000000,10944.00000000,1.04799998,0.50000000
0.00000000,0.00000000,0.00000000,11445.00000000,1.04400003,0.50000000
0.00000000,0.00000000,0.00000000,11947.00000000,1.04400003,0.50000000
0.00000000,0.00000000,0.00000000,12449.00000000,1.04400003,0.40000001
0.00000000,0.00000000,0.00000000,12951.00000000,1.04799998,0.60000002
0.00000000,0.00000000,0.00000000,13453.00000000,1.04400003,0.20000000
0.00000000,0.00000000,0.00000000,13955.00000000,1.04799998,0.80000001
0.00000000,0.00000000,0.00000000,14456.00000000,1.04799998,0.69999999
0.00000000,0.00000000,0.00000000,14957.00000000,1.04799998,1.00000000
0.00000000,0.00000000,0.00000000,15459.00000000,1.20799994,0.60000002
0.00000000,0.00000000,0.00000000,15961.00000000,1.03999996,0.80000001
0.00000000,0.00000000,0.00000000,16463.00000000,1.03999996,0.60000002
0.00000000,0.00000000,0.00000000,16964.00000000,1.03600001,0.40000001
0.00000000,0.00000000,0.00000000,17466.00000000,1.03999996,0.30000001
0.00000000,0.00000000,0.00000000,17967.00000000,1.03999996,0.60000002
0.00000000,0.00000000,0.00000000,18468.00000000,1.03999996,0.69999999
0.00000000,0.00000000,0.00000000,18970.00000000,1.20799994,0.69999999
0.00000000,0.00000000,0.00000000,19472.00000000,1.03999996,0.40000001
0.00000000,0.00000000,0.00000000,19974.00000000,1.03600001,0.40000001
0.00000000,0.00000000,0.00000000,20476.00000000,1.03600001,0.60000002
0.00000000,0.00000000,0.00000000,20978.00000000,1.03600001,0.40000001
0.00000000,0.00000000,0.00000000,21479.00000000,0.98400003,0.80000001
0.00000000,0.00000000,0.00000000,21980.00000000,1.05200005,0.60000002
0.00000000,0.00000000,0.00000000,22481.00000000,1.04799998,0.69999999
0.00000000,0.00000000,0.00000000,22983.00000000,1.04799998,0.20000000
0.00000000,0.00000000,0.00000000,23485.00000000,1.04799998,0.69999999
0.00000000,0.00000000,0.00000000,23987.00000000,6.05999994,0.69999999
0.00000000,0.00000000,0.00000000,24489.00000000,1.15999997,0.40000001
0.00000000,0.00000000,0.00000000,24990.00000000,1.05200005,0.40000001
0.00000000,0.00000000,0.00000000,25491.00000000,1.04799998,0.69999999
0.00000000,0.00000000,0.00000000,25992.00000000,1.05200005,0.69999999
0.00000000,0.00000000,0.00000000,26494.00000000,1.05200005,0.50000000
0.00000000,0.00000000,0.00000000,26996.00000000,1.05200005,0.80000001
0.00000000,0.00000000,0.00000000,27498.00000000,1.05200005,0.80000001
0.00000000,0.00000000,0.00000000,28000.00000000,1.05200005,0.50000000
0.00000000,0.00000000,0.00000000,28502.00000000,1.04799998,0.60000002
0.00000000,0.00000000,0.00000000,29003.00000000,1.05200005,0.60000002
0.00000000,0.00000000,0.00000000,29504.00000000,1.05200005,0.50000000
0.00000000,0.00000000,0.00000000,30005.00000000,1.05200005,0.60000002
0.00000000,0.00000000,0.00000000,30507.00000000,1.05200005,0.80000001
0.00000000,0.00000000,0.00000000,31009.00000000,1.05200005,0.50000000
0.00000000,0.00000000,0.00000000,31511.00000000,1.05200005,0.60000002
0.00000000,0.00000000,0.00000000,32013.00000000,1.05200005,0.60000002
0.00000000,0.00000000,0.00000000,32515.00000000,1.04799998,0.40000001
0.00000000,0.00000000,0.00000000,33017.00000000,1.04799998,0.60000002
0.00000000,0.00000000,0.00000000,33519.00000000,1.04799998,0.69999999
0.00000000,0.00000000,0.00000000,34021.00000000,1.04799998,0.30000001
0.00000000,0.00000000,0.00000000,34523.00000000,1.05200005,0.50000000
0.00000000,0.00000000,0.00000000,35024.00000000,1.04799998,0.30000001
0.00000000,0.00000000,0.00000000,35526.00000000,1.04799998,0.40000001
