latitude,longitude,velocity,time,voltage,current
4753.64208984,1132.21459961,0.05100000,8038.00000000,0.98400003,0.50000000
4753.64208984,1132.21459961,0.05100000,8539.00000000,0.98000002,0.40000001
4753.64160156,1132.21472168,0.04700000,9040.00000000,0.97600001,0.30000001
4753.64160156,1132.21472168,0.04700000,9541.00000000,0.98000002,0.60000002
4753.64160156,1132.21496582,0.07200000,10043.00000000,0.98000002,0.40000001
4753.64160156,1132.21496582,0.07200000,10544.00000000,0.98400003,0.30000001
4753.64111328,1132.21520996,0.03600000,11045.00000000,0.98000002,0.30000001
4753.64111328,1132.21520996,0.03600000,11546.00000000,0.97600001,0.30000001
4753.64111328,1132.21533203,0.16000000,12047.00000000,0.98000002,0.60000002
4753.64111328,1132.21533203,0.16000000,12548.00000000,0.98000002,0.50000000
4753.64111328,1132.21520996,0.02600000,13049.00000000,0.98000002,0.40000001
4753.64111328,1132.21520996,0.02600000,13550.00000000,16.70000076,-70.19999695
4753.64062500,1132.21533203,0.02300000,14051.00000000,16.71199989,-15.89999962
4753.64062500,1132.21533203,0.02300000,14552.00000000,16.70800018,-3.29999995
4753.64062500,1132.21545410,0.11100000,15053.00000000,5.88800001,0.40000001
4753.64062500,1132.21545410,0.11100000,15555.00000000,1.75199997,0.30000001
4753.64111328,1132.21545410,0.01500000,16057.00000000,1.36399996,0.30000001
4753.64111328,1132.21545410,0.01500000,16558.00000000,1.12399995,0.69999999
4753.64111328,1132.21545410,0.02900000,17059.00000000,1.04400003,0.50000000
4753.64111328,1132.21545410,0.02900000,17560.00000000,1.00800002,0.30000001
4753.64111328,1132.21545410,0.03300000,18061.00000000,0.99599999,0.40000001
4753.64111328,1132.21545410,0.03300000,18562.00000000,0.98799998,0.50000000
4753.64111328,1132.21533203,0.02600000,19063.00000000,0.98799998,0.20000000
4753.64111328,1132.21533203,0.02600000,19565.00000000,0.98000002,0.50000000
4753.64111328,1132.21520996,0.07200000,20067.00000000,0.98400003,0.30000001
4753.64111328,1132.21520996,0.07200000,20568.00000000,0.98000002,0.40000001
4753.64111328,1132.21520996,0.06100000,21069.00000000,0.98400003,0.00000000
4753.64111328,1132.21520996,0.06100000,21570.00000000,0.98000002,0.50000000
4753.64111328,1132.21520996,0.08900000,22071.00000000,0.98400003,0.20000000
4753.64111328,1132.21520996,0.08900000,22572.00000000,0.97600001,0.40000001
4753.64257812,1132.21289062,0.02600000,2025.00000000,16.70800018,-57.40000153
4753.64257812,1132.21289062,0.02600000,2528.00000000,16.70400047,-55.40000153
4753.64257812,1132.21362305,0.03800000,3030.00000000,16.70800018,-32.40000153
4753.64257812,1132.21362305,0.03800000,3532.00000000,16.70800018,-35.00000000
4753.64208984,1132.21423340,0.06100000,4034.00000000,16.70400047,-61.09999847
4753.64208984,1132.21423340,0.06100000,4535.00000000,16.70800018,-7.90000010
4753.64257812,1132.21423340,0.04900000,5036.00000000,16.70400047,-60.00000000
4753.64257812,1132.21423340,0.04900000,5537.00000000,16.70800018,-55.20000076
4753.64208984,1132.21411133,0.07700000,6039.00000000,16.70400047,-32.40000153
4753.64208984,1132.21411133,0.07700000,6541.00000000,16.70400047,-7.50000000
4753.64257812,1132.21398926,0.03200000,7043.00000000,16.70400047,-28.10000038
4753.64257812,1132.21398926,0.03200000,7545.00000000,16.70000076,-28.60000038
4753.64257812,1132.21374512,0.17000000,8046.00000000,16.70800018,-31.60000038
4753.64257812,1132.21374512,0.17000000,8547.00000000,16.70400047,-32.00000000
4753.64257812,1132.21362305,0.08200000,9048.00000000,16.70400047,-10.50000000
4753.64257812,1132.21362305,0.08200000,9549.00000000,16.70000076,-58.09999847
4753.64257812,1132.21325684,0.21799999,10050.00000000,16.70400047,-32.59999847
4753.64257812,1132.21325684,0.21799999,10551.00000000,16.70400047,-24.60000038
4753.64257812,1132.21325684,0.21799999,11052.00000000,16.70000076,-29.79999924
4753.64257812,1132.21325684,0.21799999,11553.00000000,16.70400047,-36.09999847
4753.64257812,1132.21325684,0.21799999,12054.00000000,16.70400047,-16.00000000
4753.64257812,1132.21325684,0.21799999,12557.00000000,16.70400047,-25.79999924
4753.64257812,1132.21325684,0.21799999,13058.00000000,16.70000076,-55.20000076
4753.64257812,1132.21325684,0.21799999,13560.00000000,16.70000076,-60.40000153
4753.64257812,1132.21325684,0.21799999,14061.00000000,16.70400047,-57.70000076
4753.64257812,1132.21325684,0.21799999,14562.00000000,16.70400047,-25.60000038
4753.64404297,1132.21643066,0.43700001,15063.00000000,16.70400047,-34.59999847
4753.64404297,1132.21643066,0.43700001,15564.00000000,16.70400047,-33.79999924
4753.64404297,1132.21643066,0.43700001,16065.00000000,16.71199989,-34.00000000
4753.64404297,1132.21643066,0.43700001,16566.00000000,16.71199989,-7.09999990
4753.64013672,1132.20849609,0.77800000,3531.00000000,16.69599915,-299.70001221
4753.64013672,1132.20849609,0.77800000,4032.00000000,16.69199944,-80.09999847
4753.63964844,1132.20935059,0.62800002,4534.00000000,16.70800018,-48.70000076
4753.63964844,1132.20935059,0.62800002,5035.00000000,16.70000076,-196.80000305
4753.63964844,1132.20935059,0.62800002,5536.00000000,16.70000076,-94.40000153
4753.63964844,1132.20935059,0.62800002,6038.00000000,16.68799973,-275.39999390
4753.63964844,1132.20935059,0.62800002,6539.00000000,16.69599915,-180.10000610
4753.63964844,1132.20935059,0.62800002,7040.00000000,16.70000076,-59.79999924
4753.63964844,1132.20935059,0.62800002,7541.00000000,16.68400002,-361.20001221
4753.63964844,1132.20935059,0.62800002,8042.00000000,16.70000076,-94.50000000
4753.62988281,1132.20837402,0.85600001,8544.00000000,16.69599915,-165.30000305
4753.62988281,1132.20837402,0.85600001,9046.00000000,16.68799973,-220.10000610
4753.63134766,1132.20825195,0.23199999,9547.00000000,16.70000076,-73.30000305
4753.63134766,1132.20825195,0.23199999,10048.00000000,16.68799973,-250.60000610
4753.63183594,1132.20935059,0.26800001,10550.00000000,16.70000076,-78.50000000
4753.63183594,1132.20935059,0.26800001,11051.00000000,16.68400002,-349.70001221
4753.63232422,1132.20935059,0.05800000,11552.00000000,16.67600060,-548.79998779
4753.63232422,1132.20935059,0.05800000,12054.00000000,16.70000076,-78.30000305
4753.63281250,1132.20874023,0.05200000,12555.00000000,16.68400002,-288.50000000
4753.63281250,1132.20874023,0.05200000,13056.00000000,16.70000076,-68.59999847
4753.63476562,1132.20935059,0.09300000,13557.00000000,16.69599915,-192.69999695
4753.63476562,1132.20935059,0.09300000,14058.00000000,16.69599915,-139.10000610
4753.63574219,1132.21044922,0.09800000,14560.00000000,16.70400047,-82.30000305
4753.63574219,1132.21044922,0.09800000,15062.00000000,16.69199944,-203.19999695
4753.63671875,1132.21081543,0.21900000,15563.00000000,16.69599915,-147.19999695
4753.63671875,1132.21081543,0.21900000,16064.00000000,16.69199944,-291.50000000
4753.63720703,1132.21166992,0.08900000,16566.00000000,16.69199944,-160.89999390
4753.63720703,1132.21166992,0.08900000,17068.00000000,16.69599915,-44.90000153
4753.63769531,1132.21240234,0.16300000,17569.00000000,16.68799973,-250.69999695
4753.63769531,1132.21240234,0.16300000,18071.00000000,16.69599915,-95.59999847
4753.63818359,1132.21276855,0.11500000,18572.00000000,16.69199944,-194.30000305
4753.63818359,1132.21276855,0.11500000,19074.00000000,16.69599915,-84.59999847
4753.63867188,1132.21301270,0.02600000,19575.00000000,16.69599915,-87.09999847
4753.63867188,1132.21301270,0.02600000,20077.00000000,16.69199944,-150.80000305
4753.63867188,1132.21325684,0.10600000,20578.00000000,16.69599915,-79.30000305
4753.63867188,1132.21325684,0.10600000,21080.00000000,16.68400002,-264.00000000
4753.63867188,1132.21313477,0.13800000,21581.00000000,16.68799973,-259.50000000
4753.63867188,1132.21313477,0.13800000,22082.00000000,16.68400002,-305.89999390
4753.63867188,1132.21301270,0.73500001,22583.00000000,16.68799973,-207.69999695
4753.63867188,1132.21301270,0.73500001,23085.00000000,16.69599915,-71.19999695
4753.63916016,1132.21313477,0.70999998,23586.00000000,16.69599915,-151.19999695
4753.63916016,1132.21313477,0.70999998,24087.00000000,16.68799973,-235.60000610
4753.63916016,1132.21289062,0.52999997,24588.00000000,16.69599915,-121.19999695
4753.63916016,1132.21289062,0.52999997,25090.00000000,16.69199944,-153.50000000
4753.63964844,1132.21325684,0.34299999,25591.00000000,16.69599915,-68.19999695
4753.63964844,1132.21325684,0.34299999,26093.00000000,16.69199944,-205.30000305
4753.63964844,1132.21362305,0.67900002,26594.00000000,16.69199944,-141.19999695
4753.63964844,1132.21362305,0.67900002,27096.00000000,16.68400002,-324.00000000
4753.64013672,1132.21374512,0.39199999,27597.00000000,16.68400002,-261.00000000
4753.64013672,1132.21374512,0.39199999,28098.00000000,16.69199944,-74.50000000
4753.64013672,1132.21386719,0.27800000,28600.00000000,16.68799973,-224.19999695
4753.64013672,1132.21386719,0.27800000,29101.00000000,16.69199944,-173.89999390
4753.64062500,1132.21386719,0.26699999,29603.00000000,16.68400002,-293.39999390
4753.64062500,1132.21386719,0.26699999,30105.00000000,16.68400002,-282.00000000
4753.64062500,1132.21398926,0.24500000,30607.00000000,16.68799973,-217.69999695
4753.64062500,1132.21398926,0.24500000,31108.00000000,16.68799973,-283.39999390
4753.64062500,1132.21374512,0.71600002,31609.00000000,16.69199944,-191.80000305
4753.64062500,1132.21374512,0.71600002,32110.00000000,16.68400002,-283.20001221
4753.64062500,1132.21350098,0.34099999,32611.00000000,16.69199944,-124.19999695
4753.64062500,1132.21350098,0.34099999,33112.00000000,16.69199944,-80.69999695
4753.64111328,1132.21301270,1.26100004,33614.00000000,16.69199944,-135.80000305
4753.64111328,1132.21301270,1.26100004,34115.00000000,16.68400002,-296.29998779
4753.64111328,1132.21228027,1.73199999,34616.00000000,16.69599915,-120.40000153
4753.64111328,1132.21228027,1.73199999,35118.00000000,16.69199944,-169.10000610
4753.64160156,1132.21154785,1.78299999,35619.00000000,16.69599915,-91.59999847
4753.64160156,1132.21154785,1.78299999,36120.00000000,16.69199944,-126.00000000
4753.64160156,1132.21154785,1.78299999,36621.00000000,16.70000076,-78.90000153
4753.64160156,1132.21154785,1.78299999,37122.00000000,16.68000031,-289.89999390
4753.64160156,1132.21154785,1.78299999,37623.00000000,16.68799973,-125.00000000
4753.64160156,1132.21154785,1.78299999,38125.00000000,16.69599915,-64.69999695
4753.64160156,1132.21154785,1.78299999,38627.00000000,16.68799973,-177.69999695
4753.64160156,1132.21154785,1.78299999,39128.00000000,16.68000031,-363.39999390
4753.64160156,1132.21154785,1.78299999,39629.00000000,16.68000031,-445.29998779
4753.64160156,1132.21154785,1.78299999,40130.00000000,16.69599915,-98.19999695
4753.64111328,1132.20568848,0.24400000,40631.00000000,16.69599915,-65.69999695
4753.64111328,1132.20568848,0.24400000,41132.00000000,16.68799973,-240.00000000
4753.64208984,1132.20678711,0.14100000,41633.00000000,16.68799973,-193.19999695
4753.64208984,1132.20678711,0.14100000,42134.00000000,16.68799973,-226.39999390
4753.64160156,1132.20727539,0.13300000,42635.00000000,16.69199944,-181.69999695
4753.64160156,1132.20727539,0.13300000,43136.00000000,16.69599915,-112.00000000
4753.64111328,1132.20776367,0.39100000,43637.00000000,16.69199944,-138.19999695
4753.64111328,1132.20776367,0.39100000,44138.00000000,16.69199944,-197.50000000
4753.64111328,1132.20800781,0.19200000,44639.00000000,16.67200089,-571.59997559
4753.64111328,1132.20800781,0.19200000,45141.00000000,16.69599915,-77.80000305
4753.64111328,1132.20849609,0.54600000,45643.00000000,16.69199944,-55.79999924
4753.64111328,1132.20849609,0.54600000,46144.00000000,16.68400002,-297.50000000
4753.64160156,1132.20886230,0.16300000,46645.00000000,16.69199944,-214.00000000
4753.64160156,1132.20886230,0.16300000,47146.00000000,16.68400002,-279.39999390
4753.64257812,1132.20910645,0.39600000,47647.00000000,16.68799973,-142.69999695
4753.64257812,1132.20910645,0.39600000,48148.00000000,16.68799973,-237.60000610
4753.64306641,1132.20898438,1.06900001,48649.00000000,16.68799973,-186.19999695
4753.64306641,1132.20898438,1.06900001,49150.00000000,16.68400002,-236.80000305
4753.64306641,1132.20849609,1.26600003,49652.00000000,16.67600060,-434.29998779
4753.64306641,1132.20849609,1.26600003,50154.00000000,16.68799973,-145.19999695
4753.64257812,1132.20825195,0.75800002,50655.00000000,16.69199944,-106.50000000
4753.64257812,1132.20825195,0.75800002,51157.00000000,16.68000031,-272.70001221
4753.64257812,1132.20825195,0.36700001,51658.00000000,16.68799973,-145.80000305
4753.64257812,1132.20825195,0.36700001,52159.00000000,16.68799973,-249.80000305
4753.64257812,1132.20812988,0.41299999,52660.00000000,16.69599915,-92.80000305
4753.64257812,1132.20812988,0.41299999,53162.00000000,16.69199944,-134.30000305
4753.64257812,1132.20800781,0.34599999,53663.00000000,16.68400002,-273.29998779
4753.64257812,1132.20800781,0.34599999,54164.00000000,16.68799973,-137.80000305
4753.64257812,1132.20825195,0.13699999,54666.00000000,16.66799927,-529.40002441
4753.64257812,1132.20825195,0.13699999,55167.00000000,16.68799973,-132.80000305
4753.64257812,1132.20825195,0.70099998,55668.00000000,16.69199944,-121.59999847
4753.64257812,1132.20825195,0.70099998,56169.00000000,16.68799973,-163.50000000
4753.64257812,1132.20812988,0.29300001,56671.00000000,16.68799973,-144.60000610
4753.64257812,1132.20812988,0.29300001,57172.00000000,16.68000031,-213.89999390
4753.64257812,1132.20788574,0.90499997,57673.00000000,16.69199944,-57.50000000
4753.64257812,1132.20788574,0.90499997,58175.00000000,16.68799973,-130.69999695
4753.64257812,1132.20800781,0.23899999,58676.00000000,16.68000031,-291.89999390
4753.64257812,1132.20800781,0.23899999,59178.00000000,16.69199944,-111.90000153
4753.64257812,1132.20776367,0.11100000,59680.00000000,16.66799927,-589.50000000
4753.64257812,1132.20776367,0.11100000,60181.00000000,16.69199944,-43.90000153
4753.64257812,1132.20751953,0.20999999,60683.00000000,16.68799973,-159.00000000
4753.64257812,1132.20751953,0.20999999,61185.00000000,16.68000031,-271.00000000
4753.64306641,1132.20739746,0.09100000,61686.00000000,16.68799973,-171.50000000
4753.64306641,1132.20739746,0.09100000,62188.00000000,16.68799973,-208.39999390
4753.64306641,1132.20727539,0.09100000,62689.00000000,16.69599915,-44.50000000
4753.64306641,1132.20727539,0.09100000,63190.00000000,16.68799973,-162.19999695
4753.64306641,1132.20715332,0.13300000,63692.00000000,16.68400002,-281.60000610
4753.64306641,1132.20715332,0.13300000,64194.00000000,16.69199944,-87.90000153
4753.64306641,1132.20703125,0.13300000,64695.00000000,16.68000031,-297.29998779
4753.64306641,1132.20703125,0.13300000,65196.00000000,16.69599915,-52.90000153
4753.64355469,1132.20715332,0.17800000,65697.00000000,16.66799927,-596.50000000
4753.64355469,1132.20715332,0.17800000,66198.00000000,16.68400002,-284.20001221
4753.64355469,1132.20690918,0.17299999,66699.00000000,16.67200089,-461.60000610
4753.64355469,1132.20690918,0.17299999,67200.00000000,16.67200089,-372.89999390
4753.64355469,1132.20666504,0.86199999,67701.00000000,16.69199944,-70.30000305
4753.64355469,1132.20666504,0.86199999,68202.00000000,16.66799927,-501.89999390
4753.64355469,1132.20617676,0.86299998,68703.00000000,16.68799973,-184.10000610
4753.64355469,1132.20617676,0.86299998,69205.00000000,16.68000031,-241.50000000
4753.64306641,1132.20568848,0.76300001,69706.00000000,16.68400002,-244.89999390
4753.64306641,1132.20568848,0.76300001,70207.00000000,16.68000031,-400.39999390
4753.64306641,1132.20520020,0.77700001,70708.00000000,16.67600060,-379.10000610
4753.64306641,1132.20520020,0.77700001,71209.00000000,16.68799973,-132.19999695
4753.64306641,1132.20495605,0.69400001,71710.00000000,16.67600060,-347.00000000
4753.64306641,1132.20495605,0.69400001,72211.00000000,16.68000031,-242.00000000
4753.64306641,1132.20471191,0.81300002,72712.00000000,16.68799973,-100.19999695
4753.64306641,1132.20471191,0.81300002,73213.00000000,16.67600060,-435.29998779
4753.64257812,1132.20446777,0.73500001,73714.00000000,16.68799973,-151.00000000
4753.64257812,1132.20446777,0.73500001,74216.00000000,16.68000031,-255.00000000
4753.64257812,1132.20422363,0.62500000,74717.00000000,16.68000031,-318.10000610
4753.64257812,1132.20422363,0.62500000,75219.00000000,16.68799973,-85.30000305
4753.64306641,1132.20410156,0.62500000,75720.00000000,16.67600060,-371.50000000
4753.64306641,1132.20410156,0.62500000,76221.00000000,16.68400002,-152.19999695
