Used Parameters:
Used Foils:,wide_stiff_for_real
Waterspeed:,0.0
Frequency:,0.7
Heave Amplitude:,38
Pitch Amplitude:,65
Camber Amplitude,90
Pitch Phase,0
Camber Phase,0
Turn Rate,0
Test Duration,10

Statistical Evaluation:
Time,Heave_pos,Pitch_right,Pitch_left,Power_consumption,Noise,Fx,Fz,Mx,My,Mz,Inflow_velocity,Angle_of_attack,Efficiency
254.667,4.570,30.000,150.000,2398.000,0.000,-0.550,22.600,-0.550,-0.010,-0.030,2.096,29.900,-0.229
254.736,7.000,30.000,150.000,5662.000,0.000,-0.550,22.600,-0.550,-0.010,-0.030,0.049,29.900,-0.097
254.810,132.960,48.730,131.270,2124.000,0.000,-0.340,23.400,-0.340,-0.000,-0.020,2.371,48.630,-0.160
254.884,131.620,150.000,30.000,4958.000,0.000,-0.340,23.400,-0.340,-0.000,-0.020,0.025,149.900,-0.069
254.953,,150.000,30.000,4254.000,0.000,-0.340,23.400,-0.340,-0.000,-0.020,,149.900,-0.080
255.027,18.500,150.000,30.000,3838.000,0.000,1.200,23.500,0.850,0.360,0.030,,149.900,0.313
255.101,87.000,150.000,30.000,4998.000,0.000,1.200,23.500,0.850,0.360,0.030,1.290,149.900,0.240
255.170,0.000,4050.000,0.000,,,0.160,22.000,0.100,0.060,0.000,1.735,4049.900,
255.244,84.220,150.000,30.000,4790.000,0.000,0.160,22.000,0.100,0.060,0.000,1.588,149.900,0.033
255.314,,150.000,30.000,7078.000,0.000,0.160,22.000,0.100,0.060,0.000,,149.900,0.023
255.387,0.000,7274.000,0.000,,,0.500,23.400,0.470,0.020,0.020,,7273.900,
255.457,59.030,150.000,30.000,8632.000,0.000,0.500,23.400,0.470,0.020,0.020,1.177,149.900,0.058
255.531,57.000,100.740,79.260,13274.000,0.000,0.500,23.400,0.470,0.020,0.020,0.038,100.640,0.038
255.605,58.800,30.000,150.000,6184.000,0.000,1.320,23.400,1.200,0.120,0.060,0.034,29.900,0.213
255.675,,30.000,150.000,8314.000,0.000,1.320,23.400,1.200,0.120,0.060,,29.900,0.159
255.748,72.530,30.000,150.000,6000.000,0.000,1.030,23.800,0.990,0.050,0.050,,29.900,0.172
255.817,35.000,30.000,150.000,4354.000,0.000,1.030,23.800,0.990,0.050,0.050,0.748,29.900,0.237
255.891,95.020,30.000,150.000,3984.000,0.000,1.030,23.800,0.990,0.050,0.050,1.129,29.900,0.259
255.965,7.010,30.000,150.000,4470.000,0.000,-1.580,23.500,-1.560,-0.020,-0.080,1.658,29.900,-0.353
256.035,64.000,30.000,150.000,3810.000,0.000,-1.580,23.500,-1.560,-0.020,-0.080,1.138,29.900,-0.415
256.108,126.120,30.000,150.000,1222.000,0.000,-0.410,22.900,-0.410,-0.000,-0.020,1.170,29.900,-0.336
256.182,131.360,30.000,150.000,5246.000,0.000,-0.410,22.900,-0.410,-0.000,-0.020,0.099,29.900,-0.078
256.252,132.990,109.790,70.210,9276.000,0.000,-0.410,22.900,-0.410,-0.000,-0.020,0.033,109.690,-0.044
256.325,130.790,150.000,30.000,6402.000,0.000,0.140,23.700,0.080,0.060,0.000,0.041,149.900,0.022
256.399,0.130,150.000,30.000,2504.000,0.000,0.140,23.700,0.080,0.060,0.000,2.464,149.900,0.056
256.469,,150.000,30.000,6466.000,0.000,0.140,23.700,0.080,0.060,0.000,,149.900,0.022
256.542,5.420,150.000,30.000,5066.000,0.000,0.960,23.800,0.800,0.160,0.030,,149.900,0.189
256.612,2.000,150.000,30.000,4316.000,0.000,0.960,23.800,0.800,0.160,0.030,0.068,149.900,0.222
256.686,81.770,150.000,30.000,3762.000,0.000,0.110,22.100,0.100,0.010,0.000,1.503,149.900,0.029
256.760,0.200,150.000,30.000,7136.000,0.000,0.110,22.100,0.100,0.010,0.000,1.537,149.900,0.015
256.829,,150.000,30.000,11462.000,0.000,0.110,22.100,0.100,0.010,0.000,,149.900,0.010
256.903,8.280,150.000,30.000,10558.000,0.000,1.140,23.700,0.940,0.200,0.040,,149.900,0.108
256.977,57.070,35.750,144.250,11488.000,0.000,1.140,23.700,0.940,0.200,0.040,0.920,35.650,0.099
257.046,59.670,30.000,150.000,3330.000,0.000,1.140,23.700,0.940,0.200,0.040,0.052,29.900,0.342
257.120,0.670,30.000,150.000,9548.000,0.000,1.340,24.100,1.130,0.210,0.050,1.114,29.900,0.140
257.190,,30.000,150.000,5616.000,0.000,1.340,24.100,1.130,0.210,0.050,,29.900,0.239
257.263,85.830,30.000,150.000,5230.000,0.000,0.080,23.800,0.040,0.040,-0.000,,29.900,0.015
257.333,97.770,30.000,150.000,2802.000,0.000,0.080,23.800,0.040,0.040,-0.000,0.237,29.900,0.029
257.407,109.430,30.000,150.000,3346.000,0.000,0.080,23.800,0.040,0.040,-0.000,0.221,29.900,0.024
257.480,119.790,30.000,150.000,6242.000,0.000,-1.470,22.300,-1.460,-0.010,-0.070,0.196,29.900,-0.236
257.550,127.440,30.000,150.000,3150.000,0.000,-1.470,22.300,-1.460,-0.010,-0.070,0.152,29.900,-0.467
257.624,132.030,30.000,150.000,3864.000,0.000,-1.030,23.500,-1.020,-0.010,-0.050,0.087,29.900,-0.267
257.698,2.830,150.000,30.000,5252.000,0.000,-1.030,23.500,-1.020,-0.010,-0.050,2.431,149.900,-0.196
257.767,129.840,150.000,30.000,5554.000,0.000,-1.030,23.500,-1.020,-0.010,-0.050,2.538,149.900,-0.185
257.841,123.380,150.000,30.000,7210.000,0.000,2.000,23.400,1.350,0.650,0.040,0.122,149.900,0.277
257.915,0.100,150.000,30.000,5806.000,0.000,2.000,23.400,1.350,0.650,0.040,2.326,149.900,0.344
257.984,,150.000,30.000,5472.000,0.000,2.000,23.400,1.350,0.650,0.040,,149.900,0.365
258.058,0.950,150.000,30.000,2614.000,0.000,0.440,22.300,0.400,0.030,0.020,,149.900,0.168
258.127,3.000,150.000,30.000,5486.000,0.000,0.440,22.300,0.400,0.030,0.020,0.041,149.900,0.080
258.201,69.250,150.000,30.000,6072.000,0.000,0.610,23.100,0.600,0.010,0.030,1.249,149.900,0.100
258.275,61.830,150.000,30.000,13986.000,0.000,0.610,23.100,0.600,0.010,0.030,0.140,149.900,0.044
258.345,150.000,30.000,11642.000,0.000,,0.610,23.100,0.600,0.010,0.030,1.749,29.900,inf
258.418,57.310,30.000,150.000,8360.000,0.000,1.410,23.700,1.290,0.130,0.060,1.752,29.900,0.169
258.488,3.000,30.000,150.000,4686.000,0.000,1.410,23.700,1.290,0.130,0.060,1.077,29.900,0.301
258.562,67.500,30.000,150.000,6170.000,0.000,1.610,23.700,1.460,0.150,0.070,1.208,29.900,0.261
258.636,77.030,30.000,150.000,11760.000,0.000,1.610,23.700,1.460,0.150,0.070,0.181,29.900,0.137
258.705,88.510,30.000,150.000,3276.000,0.000,1.610,23.700,1.460,0.150,0.070,0.228,29.900,0.491
258.779,0.330,30.000,150.000,4548.000,0.000,-1.390,23.400,-1.380,-0.010,-0.070,1.661,29.900,-0.306
258.853,111.930,30.000,150.000,2002.000,0.000,-1.390,23.400,-1.380,-0.010,-0.070,2.107,29.900,-0.694
258.923,121.680,30.000,150.000,2684.000,0.000,-1.390,23.400,-1.380,-0.010,-0.070,0.194,29.900,-0.518
258.997,128.780,30.000,150.000,6282.000,0.000,-0.480,22.400,-0.480,-0.000,-0.020,0.133,29.900,-0.076
259.066,132.520,30.000,150.000,1258.000,0.000,-0.480,22.400,-0.480,-0.000,-0.020,0.075,29.900,-0.382
259.139,132.500,150.000,30.000,5976.000,0.000,0.050,23.600,0.050,0.000,0.000,0.000,149.900,0.008
259.213,8.730,150.000,30.000,3490.000,0.000,0.050,23.600,0.050,0.000,0.000,2.335,149.900,0.014
259.283,0.000,150.000,30.000,9802.000,0.000,0.050,23.600,0.050,0.000,0.000,0.174,149.900,0.005
259.357,111.670,150.000,30.000,5282.000,0.000,1.630,23.700,1.140,0.490,0.030,2.100,149.900,0.309
259.430,0.380,150.000,30.000,3342.000,0.000,1.630,23.700,1.140,0.490,0.030,2.099,149.900,0.488
259.500,88.230,150.000,30.000,4076.000,0.000,1.630,23.700,1.140,0.490,0.030,1.742,149.900,0.400
259.574,6.920,150.000,30.000,6232.000,0.000,0.100,21.200,0.100,0.010,0.000,1.544,149.900,0.016
259.643,0.000,150.000,30.000,8376.000,0.000,0.100,21.200,0.100,0.010,0.000,0.137,149.900,0.012
259.717,60.650,150.000,30.000,13150.000,0.000,0.920,23.700,0.860,0.060,0.040,1.144,149.900,0.070
259.791,0.280,150.000,30.000,13752.000,0.000,0.920,23.700,0.860,0.060,0.040,1.134,149.900,0.067
259.860,,30.000,150.000,5778.000,0.000,0.920,23.700,0.860,0.060,0.040,,29.900,0.159
259.934,61.890,30.000,150.000,5128.000,0.000,1.680,23.800,1.480,0.200,0.070,,29.900,0.328
260.004,4.000,30.000,150.000,8612.000,0.000,1.680,23.800,1.480,0.200,0.070,1.154,29.900,0.195
260.077,79.490,30.000,150.000,8710.000,0.000,0.460,23.800,0.440,0.020,0.020,1.427,29.900,0.053
260.151,0.900,30.000,150.000,4780.000,0.000,0.460,23.800,0.440,0.020,0.020,1.483,29.900,0.096
