Used Parameters:
Used Foils:,wide_stiff_for_real
Waterspeed:,0.0
Frequency:,0.7
Heave Amplitude:,38
Pitch Amplitude:,60
Camber Amplitude,90
Pitch Phase,0
Camber Phase,0
Turn Rate,0
Test Duration,10

Statistical Evaluation:
Time,Heave_pos,Pitch_right,Pitch_left,Power_consumption,Noise,Fx,Fz,Mx,My,Mz,Inflow_velocity,Angle_of_attack,Efficiency
average,59.861,117.952,434.378,5509.431,0.000,0.487,23.247,0.426,0.061,0.019,1.098,117.852,0.08839388314328649
max,150.000,3506.000,13780.000,13626.000,0.000,1.890,24.200,1.480,0.410,0.070,3.297,3505.900,inf
min,0.000,0.000,0.000,0.000,0.000,-1.210,21.500,-1.190,-0.020,-0.060,0.001,-0.100,-inf
std. dev,51.169,340.671,1661.123,3058.590,0.000,0.887,0.672,0.827,0.088,0.039,0.917,340.671,
Complete Data:,,,,,,,,,,,,,
Time,Heave_pos,Pitch_right,Pitch_left,Power_consumption,Noise,Fx,Fz,Mx,My,Mz,Inflow_velocity,Angle_of_attack,Efficiency
238.320,9.000,30.000,150.000,8976.000,0.000,0.000,23.600,0.010,-0.010,0.000,0.960,29.900,0.000
238.394,64.370,30.000,150.000,5594.000,0.000,0.000,23.600,0.010,-0.010,0.000,1.043,29.900,0.000
238.464,3.000,30.000,150.000,4974.000,0.000,0.000,23.600,0.010,-0.010,0.000,1.222,29.900,0.000
238.537,83.620,30.000,150.000,4492.000,0.000,-0.030,23.500,-0.020,-0.010,-0.000,1.524,29.900,-0.007
238.611,95.480,30.000,150.000,3094.000,0.000,-0.030,23.500,-0.020,-0.010,-0.000,0.223,29.900,-0.010
238.681,4.000,30.000,150.000,2752.000,0.000,-0.030,23.500,-0.020,-0.010,-0.000,1.826,29.900,-0.011
238.754,118.010,30.000,150.000,966.000,0.000,-0.500,21.900,-0.500,-0.010,-0.030,2.150,29.900,-0.518
238.828,126.280,30.000,150.000,3730.000,0.000,-0.500,21.900,-0.500,-0.010,-0.030,0.156,29.900,-0.134
238.898,131.440,30.000,150.000,6868.000,0.000,-0.090,23.400,-0.100,0.000,-0.010,0.103,29.900,-0.013
238.971,132.980,116.570,63.430,5960.000,0.000,-0.090,23.400,-0.100,0.000,-0.010,0.029,116.470,-0.015
239.041,5.000,150.000,30.000,5830.000,0.000,-0.090,23.400,-0.100,0.000,-0.010,2.552,149.900,-0.015
239.115,124.850,150.000,30.000,4604.000,0.000,2.040,23.500,1.700,0.330,0.070,2.259,149.900,0.443
239.189,116.040,150.000,30.000,7798.000,0.000,2.040,23.500,1.700,0.330,0.070,0.166,149.900,0.262
239.259,,150.000,30.000,6016.000,0.000,2.040,23.500,1.700,0.330,0.070,,149.900,0.339
239.332,93.230,150.000,30.000,3848.000,0.000,0.350,22.100,0.330,0.010,0.020,,149.900,0.091
239.402,81.500,150.000,30.000,2890.000,0.000,0.350,22.100,0.330,0.010,0.020,0.233,149.900,0.121
239.477,71.110,150.000,30.000,6992.000,0.000,0.710,22.500,0.690,0.010,0.030,0.190,149.900,0.102
239.545,10.000,150.000,30.000,7806.000,0.000,0.710,22.500,0.690,0.010,0.030,1.259,149.900,0.091
