Used Parameters:
Used Foils:,wide_stiff_for_real
Waterspeed:,0.0
Frequency:,0.6
Heave Amplitude:,38
Pitch Amplitude:,20
Camber Amplitude,90
Pitch Phase,0
Camber Phase,0
Turn Rate,0
Test Duration,10

Statistical Evaluation:
Time,Heave_pos,Pitch_right,Pitch_left,Power_consumption,Noise,Fx,Fz,Mx,My,Mz,Inflow_velocity,Angle_of_attack,Efficiency
average,59.471,90.152,200.933,3813.136,0.000,0.515,22.111,0.492,0.023,0.025,1.115,90.052,0.1350594366421759
max,150.000,150.000,6180.000,8884.000,0.000,1.000,22.900,0.960,0.060,0.050,3.002,149.900,inf
min,0.000,30.000,30.000,0.000,0.000,-0.080,21.100,-0.090,0.000,0.000,0.008,29.900,-0.071
std. dev,48.347,59.607,679.344,2160.020,0.000,0.255,0.436,0.250,0.009,0.013,0.871,59.607,
Complete Data:,,,,,,,,,,,,,
Time,Heave_pos,Pitch_right,Pitch_left,Power_consumption,Noise,Fx,Fz,Mx,My,Mz,Inflow_velocity,Angle_of_attack,Efficiency
264.259,57.000,90.000,90.000,648.000,0.000,0.030,21.800,0.010,0.010,0.000,0.000,89.900,0.046
264.333,0.390,30.000,150.000,2064.000,0.000,0.030,21.800,0.010,0.010,0.000,1.071,29.900,0.015
264.402,30.000,150.000,298.000,0.000,,0.030,21.800,0.010,0.010,0.000,0.592,149.900,inf
264.476,9.020,30.000,150.000,3972.000,0.000,0.010,22.000,0.000,0.010,-0.000,0.395,29.900,0.003
264.546,1.000,30.000,150.000,4306.000,0.000,0.010,22.000,0.000,0.010,-0.000,0.160,29.900,0.002
264.619,86.940,30.000,150.000,2814.000,0.000,-0.080,21.800,-0.090,0.000,-0.000,1.616,29.900,-0.028
264.693,34.000,30.000,150.000,1340.000,0.000,-0.080,21.800,-0.090,0.000,-0.000,0.996,29.900,-0.060
264.763,,30.000,150.000,1134.000,0.000,-0.080,21.800,-0.090,0.000,-0.000,,29.900,-0.071
264.837,16.600,30.000,150.000,4490.000,0.000,0.570,22.400,0.510,0.060,0.020,,29.900,0.127
264.907,19.000,30.000,150.000,3542.000,0.000,0.570,22.400,0.510,0.060,0.020,0.048,29.900,0.161
264.980,129.700,30.000,150.000,2622.000,0.000,0.570,22.400,0.510,0.060,0.020,2.092,29.900,0.217
265.054,0.560,30.000,150.000,770.000,0.000,1.000,21.900,0.950,0.050,0.050,2.434,29.900,1.299
265.123,,150.000,30.000,502.000,0.000,1.000,21.900,0.950,0.050,0.050,,149.900,1.992
265.197,0.080,150.000,30.000,5106.000,0.000,0.760,21.800,0.720,0.040,0.040,,149.900,0.149
265.267,7.000,150.000,30.000,4890.000,0.000,0.760,21.800,0.720,0.040,0.040,0.138,149.900,0.155
265.341,117.490,150.000,30.000,3490.000,0.000,0.760,21.800,0.720,0.040,0.040,2.080,149.900,0.218
265.414,0.450,150.000,30.000,6230.000,0.000,0.250,21.700,0.230,0.020,0.010,2.219,149.900,0.040
265.484,98.430,150.000,30.000,6098.000,0.000,0.250,21.700,0.230,0.020,0.010,1.954,149.900,0.041
265.557,88.160,150.000,30.000,6688.000,0.000,0.250,21.700,0.230,0.020,0.010,0.194,149.900,0.037
265.627,6.000,150.000,30.000,6820.000,0.000,0.540,21.600,0.530,0.020,0.030,1.632,149.900,0.079
265.701,69.730,150.000,30.000,5928.000,0.000,0.540,21.600,0.530,0.020,0.030,1.202,149.900,0.091
265.775,63.040,150.000,30.000,6760.000,0.000,0.540,22.700,0.520,0.020,0.030,0.126,149.900,0.080
265.845,150.000,30.000,6180.000,0.000,,0.540,22.700,0.520,0.020,0.030,1.726,29.900,inf
265.918,57.020,116.010,63.990,1446.000,0.000,0.540,22.700,0.520,0.020,0.030,1.759,115.910,0.373
265.988,,30.000,150.000,534.000,0.000,0.750,22.300,0.720,0.020,0.040,,29.900,1.404
266.064,61.910,30.000,150.000,2624.000,0.000,0.750,22.300,0.720,0.020,0.040,,29.900,0.286
266.131,23.000,30.000,150.000,2962.000,0.000,0.250,22.300,0.240,0.010,0.010,0.811,29.900,0.084
266.204,76.320,30.000,150.000,2660.000,0.000,0.250,22.300,0.240,0.010,0.010,1.004,29.900,0.094
266.278,0.870,30.000,150.000,2732.000,0.000,0.250,22.300,0.240,0.010,0.010,1.422,29.900,0.092
266.348,,30.000,150.000,3614.000,0.000,0.220,22.300,0.210,0.010,0.010,,29.900,0.061
266.421,106.240,30.000,150.000,3666.000,0.000,0.220,22.300,0.210,0.010,0.010,,29.900,0.060
266.495,0.680,30.000,150.000,5486.000,0.000,0.220,22.300,0.210,0.010,0.010,1.989,29.900,0.040
266.565,123.470,30.000,150.000,2592.000,0.000,0.710,22.800,0.680,0.030,0.030,2.447,29.900,0.274
266.639,29.240,30.000,150.000,2540.000,0.000,0.710,22.800,0.680,0.030,0.030,1.774,29.900,0.280
266.709,132.410,30.000,150.000,1294.000,0.000,0.970,22.300,0.950,0.020,0.050,2.045,29.900,0.750
266.782,132.830,150.000,30.000,412.000,0.000,0.970,22.300,0.950,0.020,0.050,0.008,149.900,2.354
266.856,0.440,150.000,30.000,4706.000,0.000,0.970,22.300,0.950,0.020,0.050,2.505,149.900,0.206
266.926,4.000,150.000,30.000,3758.000,0.000,0.730,22.300,0.690,0.040,0.030,0.071,149.900,0.194
266.999,118.250,150.000,30.000,5876.000,0.000,0.730,22.300,0.690,0.040,0.030,2.160,149.900,0.124
267.073,0.340,150.000,30.000,6530.000,0.000,0.730,22.300,0.690,0.040,0.030,2.205,149.900,0.112
267.143,150.000,30.000,3306.000,0.000,,0.170,21.800,0.160,0.020,0.010,3.002,29.900,inf
267.216,89.100,150.000,30.000,6230.000,0.000,0.170,21.800,0.160,0.020,0.010,1.150,149.900,0.027
267.286,,150.000,30.000,8316.000,0.000,0.460,22.100,0.440,0.020,0.020,,149.900,0.055
