Used Parameters:
Used Foils:,wide_stiff_for_real
Waterspeed:,0.0
Frequency:,0.5
Heave Amplitude:,38
Pitch Amplitude:,50
Camber Amplitude,90
Pitch Phase,0
Camber Phase,0
Turn Rate,0
Test Duration,10

Statistical Evaluation:
Time,Heave_pos,Pitch_right,Pitch_left,Power_consumption,Noise,Fx,Fz,Mx,My,Mz,Inflow_velocity,Angle_of_attack,Efficiency
average,57.265,85.934,290.340,2953.231,0.000,0.539,17.427,0.516,0.020,0.026,1.109,85.834,0.18251196740112777
max,150.000,150.000,5076.000,8334.000,0.000,0.950,18.400,0.930,0.030,0.050,2.846,149.900,inf
min,0.000,30.000,30.000,0.000,0.000,0.240,16.400,0.220,0.020,0.010,0.035,29.900,0.052
std. dev,47.517,59.379,756.549,1801.573,0.000,0.226,0.540,0.228,0.001,0.013,0.829,59.379,
Complete Data:,,,,,,,,,,,,,
Time,Heave_pos,Pitch_right,Pitch_left,Power_consumption,Noise,Fx,Fz,Mx,My,Mz,Inflow_velocity,Angle_of_attack,Efficiency
472.474,57.970,30.000,150.000,5482.000,0.000,0.220,16.900,0.190,0.020,0.010,0.018,29.900,0.040
472.547,60.820,30.000,150.000,3358.000,0.000,0.220,16.900,0.190,0.020,0.010,0.054,29.900,0.066
472.617,30.000,150.000,4398.000,0.000,,0.270,18.900,0.250,0.020,0.010,0.613,149.900,inf
472.691,71.520,30.000,150.000,4138.000,0.000,0.270,18.900,0.250,0.020,0.010,0.784,29.900,0.065
472.761,78.820,30.000,150.000,2694.000,0.000,0.270,18.900,0.250,0.020,0.010,0.145,29.900,0.100
472.834,87.060,30.000,150.000,2802.000,0.000,0.160,17.400,0.140,0.020,0.010,0.156,29.900,0.057
472.904,95.480,30.000,150.000,1140.000,0.000,0.160,17.400,0.140,0.020,0.010,0.168,29.900,0.140
472.977,104.100,30.000,150.000,1566.000,0.000,0.310,16.900,0.290,0.020,0.010,0.163,29.900,0.198
473.051,12.150,30.000,150.000,2986.000,0.000,0.310,16.900,0.290,0.020,0.010,1.730,29.900,0.104
473.121,1.000,30.000,150.000,2370.000,0.000,0.310,16.900,0.290,0.020,0.010,0.222,29.900,0.131
473.194,125.240,30.000,150.000,1192.000,0.000,0.800,17.200,0.780,0.020,0.040,2.342,29.900,0.671
473.268,0.680,30.000,150.000,4260.000,0.000,0.800,17.200,0.780,0.020,0.040,2.335,29.900,0.188
473.338,132.280,30.000,150.000,2396.000,0.000,0.800,17.200,0.780,0.020,0.040,2.618,29.900,0.334
473.412,32.980,118.270,61.730,816.000,0.000,0.960,17.700,0.940,0.020,0.050,1.881,118.170,1.176
473.482,75.000,150.000,30.000,1308.000,0.000,0.960,17.700,0.940,0.020,0.050,0.833,149.900,0.734
473.556,128.580,150.000,30.000,1946.000,0.000,0.640,17.300,0.620,0.020,0.030,0.996,149.900,0.329
473.629,3.820,150.000,30.000,3376.000,0.000,0.640,17.300,0.620,0.020,0.030,2.391,149.900,0.190
473.700,117.430,150.000,30.000,3886.000,0.000,0.640,17.300,0.620,0.020,0.030,2.202,149.900,0.165
473.772,9.980,150.000,30.000,3542.000,0.000,0.360,17.300,0.340,0.020,0.020,2.091,149.900,0.102
473.845,101.770,150.000,30.000,1252.000,0.000,0.360,17.300,0.340,0.020,0.020,1.731,149.900,0.288
473.915,50.000,30.000,3804.000,0.000,,0.360,17.300,0.340,0.020,0.020,1.030,29.900,inf
473.989,0.630,150.000,30.000,4086.000,0.000,0.660,16.800,0.640,0.020,0.030,0.929,149.900,0.162
474.059,,150.000,30.000,4310.000,0.000,0.660,16.800,0.640,0.020,0.030,,149.900,0.153
474.133,9.780,150.000,30.000,6478.000,0.000,0.760,17.600,0.740,0.020,0.040,,149.900,0.117
474.202,8.000,150.000,30.000,4780.000,0.000,0.760,17.600,0.740,0.020,0.040,0.035,149.900,0.159
474.276,59.850,150.000,30.000,4464.000,0.000,0.760,17.600,0.740,0.020,0.040,0.975,149.900,0.170
474.356,0.510,150.000,30.000,5728.000,0.000,0.930,17.800,0.910,0.020,0.050,1.033,149.900,0.162
474.419,33.490,146.510,1412.000,0.000,,0.930,17.800,0.910,0.020,0.050,0.726,146.410,inf
474.493,8.580,30.000,150.000,1710.000,0.000,0.770,18.300,0.750,0.020,0.040,0.469,29.900,0.450
474.563,3.000,30.000,150.000,862.000,0.000,0.770,18.300,0.750,0.020,0.040,0.111,29.900,0.893
474.636,66.970,30.000,150.000,4336.000,0.000,0.770,18.300,0.750,0.020,0.040,1.206,29.900,0.178
474.710,73.440,30.000,150.000,3738.000,0.000,0.310,17.700,0.290,0.020,0.010,0.122,29.900,0.083
474.780,30.000,150.000,2422.000,0.000,,0.310,17.700,0.290,0.020,0.010,0.867,149.900,inf
474.853,89.290,30.000,150.000,2038.000,0.000,0.310,17.700,0.290,0.020,0.010,1.116,29.900,0.152
474.923,,30.000,150.000,980.000,0.000,0.310,17.000,0.280,0.020,0.010,,29.900,0.316
474.996,106.290,30.000,150.000,1628.000,0.000,0.310,17.000,0.280,0.020,0.010,,29.900,0.190
475.070,0.240,30.000,150.000,2648.000,0.000,0.350,17.000,0.330,0.020,0.020,1.998,29.900,0.132
475.140,,30.000,150.000,1602.000,0.000,0.350,17.000,0.330,0.020,0.020,,29.900,0.218
475.214,126.690,30.000,150.000,1600.000,0.000,0.350,17.000,0.330,0.020,0.020,,29.900,0.219
475.287,55.000,30.000,150.000,3090.000,0.000,0.550,16.900,0.530,0.020,0.030,1.351,29.900,0.178
475.357,132.670,30.000,150.000,2858.000,0.000,0.550,16.900,0.530,0.020,0.030,1.549,29.900,0.192
475.431,2.820,150.000,30.000,1364.000,0.000,0.550,16.900,0.530,0.020,0.030,2.437,149.900,0.403
475.500,131.070,150.000,30.000,3002.000,0.000,0.810,17.700,0.790,0.020,0.040,2.573,149.900,0.270
475.574,127.400,150.000,30.000,1432.000,0.000,0.810,17.700,0.790,0.020,0.040,0.069,149.900,0.566
475.648,122.120,150.000,30.000,7128.000,0.000,0.470,17.300,0.450,0.020,0.020,0.099,149.900,0.066
475.718,,150.000,30.000,4600.000,0.000,0.470,17.300,0.450,0.020,0.020,,149.900,0.102
475.792,7.760,150.000,30.000,3156.000,0.000,0.470,17.300,0.450,0.020,0.020,,149.900,0.149
475.861,99.290,150.000,30.000,1602.000,0.000,0.370,17.200,0.350,0.020,0.020,1.832,149.900,0.231
475.935,90.830,150.000,30.000,3394.000,0.000,0.370,17.200,0.350,0.020,0.020,0.160,149.900,0.109
476.009,0.350,150.000,30.000,3964.000,0.000,0.700,16.900,0.680,0.020,0.030,1.705,149.900,0.177
476.078,,150.000,30.000,1982.000,0.000,0.700,16.900,0.680,0.020,0.030,,149.900,0.353
476.152,67.880,150.000,30.000,5266.000,0.000,0.700,16.900,0.680,0.020,0.030,,149.900,0.133
476.221,6.000,150.000,30.000,5596.000,0.000,0.750,17.700,0.730,0.020,0.040,1.235,149.900,0.134
476.295,59.010,150.000,30.000,4562.000,0.000,0.750,17.700,0.730,0.020,0.040,0.997,149.900,0.164
476.369,0.180,150.000,30.000,4834.000,0.000,0.750,17.700,0.730,0.020,0.040,1.108,149.900,0.155
476.439,,30.000,150.000,1426.000,0.000,0.940,18.000,0.910,0.020,0.050,,29.900,0.659
476.512,9.370,30.000,150.000,2602.000,0.000,0.940,18.000,0.910,0.020,0.050,,29.900,0.361
476.582,63.240,30.000,150.000,1864.000,0.000,0.350,18.300,0.320,0.020,0.020,1.072,29.900,0.188
476.656,68.640,30.000,150.000,3856.000,0.000,0.350,18.300,0.320,0.020,0.020,0.102,29.900,0.091
476.730,55.000,30.000,150.000,4142.000,0.000,0.350,18.300,0.320,0.020,0.020,0.257,29.900,0.085
476.799,30.000,150.000,2714.000,0.000,,0.240,17.700,0.220,0.020,0.010,0.500,149.900,inf
476.873,1.780,30.000,150.000,1960.000,0.000,0.240,17.700,0.220,0.020,0.010,0.532,29.900,0.122
476.942,35.000,30.000,150.000,462.000,0.000,0.240,17.700,0.220,0.020,0.010,0.662,29.900,0.519
477.016,108.770,30.000,150.000,1726.000,0.000,0.270,16.900,0.250,0.020,0.010,1.397,29.900,0.156
