Used Parameters:
Used Foils:,wide_stiff_for_real
Waterspeed:,0.0
Frequency:,0.6
Heave Amplitude:,38
Pitch Amplitude:,40
Camber Amplitude,90
Pitch Phase,0
Camber Phase,0
Turn Rate,0
Test Duration,10

Statistical Evaluation:
Time,Heave_pos,Pitch_right,Pitch_left,Power_consumption,Noise,Fx,Fz,Mx,My,Mz,Inflow_velocity,Angle_of_attack,Efficiency
average,55.867,91.294,438.456,3428.635,0.000,0.547,21.599,0.528,0.019,0.026,1.071,91.194,0.15953870855311222
max,150.000,150.000,6666.000,8992.000,0.000,1.190,22.600,1.160,0.040,0.060,2.859,149.900,inf
min,0.000,30.000,30.000,0.000,0.000,-0.020,20.200,-0.010,-0.010,0.000,0.007,29.900,-inf
std. dev,45.682,59.512,1276.509,2099.780,0.000,0.400,0.582,0.394,0.010,0.020,0.859,59.512,
Complete Data:,,,,,,,,,,,,,
Time,Heave_pos,Pitch_right,Pitch_left,Power_consumption,Noise,Fx,Fz,Mx,My,Mz,Inflow_velocity,Angle_of_attack,Efficiency
316.378,58.430,30.000,150.000,4464.000,0.000,0.020,21.600,0.020,-0.000,0.000,0.027,29.900,0.004
316.452,62.540,30.000,150.000,3290.000,0.000,0.020,21.600,0.020,-0.000,0.000,0.078,29.900,0.006
316.521,,30.000,150.000,2766.000,0.000,0.010,22.400,0.010,-0.000,0.000,,29.900,0.004
316.595,77.410,30.000,150.000,5148.000,0.000,0.010,22.400,0.010,-0.000,0.000,,29.900,0.002
316.665,2.000,30.000,150.000,2684.000,0.000,-0.010,21.300,-0.000,-0.010,0.000,1.505,29.900,-0.004
316.739,97.480,30.000,150.000,1998.000,0.000,-0.010,21.300,-0.000,-0.010,0.000,1.794,29.900,-0.005
316.812,7.420,30.000,150.000,3848.000,0.000,-0.010,21.300,-0.000,-0.010,0.000,1.696,29.900,-0.003
316.882,116.710,30.000,150.000,2136.000,0.000,0.290,21.800,0.270,0.020,0.010,2.177,29.900,0.136
316.956,124.280,30.000,150.000,2680.000,0.000,0.290,21.800,0.270,0.020,0.010,0.142,29.900,0.108
317.029,0.700,30.000,150.000,3312.000,0.000,0.290,21.800,0.270,0.020,0.010,2.347,29.900,0.088
317.099,132.580,30.000,150.000,1576.000,0.000,1.260,21.900,1.190,0.060,0.060,2.634,29.900,0.799
317.173,2.690,150.000,30.000,1426.000,0.000,1.260,21.900,1.190,0.060,0.060,2.440,149.900,0.884
317.242,130.080,150.000,30.000,554.000,0.000,0.800,21.900,0.780,0.020,0.040,2.547,149.900,1.444
317.316,124.790,150.000,30.000,4270.000,0.000,0.800,21.900,0.780,0.020,0.040,0.100,149.900,0.187
317.390,0.370,150.000,30.000,3928.000,0.000,0.800,21.900,0.780,0.020,0.040,2.343,149.900,0.204
317.459,,150.000,30.000,2704.000,0.000,0.340,21.600,0.320,0.020,0.020,,149.900,0.126
317.533,98.290,150.000,30.000,5460.000,0.000,0.340,21.600,0.320,0.020,0.020,,149.900,0.062
317.603,87.880,150.000,30.000,4850.000,0.000,0.340,21.600,0.320,0.020,0.020,0.208,149.900,0.070
317.676,78.130,150.000,30.000,4368.000,0.000,0.650,21.100,0.630,0.020,0.030,0.184,149.900,0.149
317.750,62.000,150.000,30.000,8868.000,0.000,0.650,21.100,0.630,0.020,0.030,0.304,149.900,0.073
317.820,150.000,30.000,6666.000,0.000,,1.120,22.600,1.100,0.020,0.060,1.756,29.900,inf
317.893,8.660,150.000,30.000,8044.000,0.000,1.120,22.600,1.100,0.020,0.060,2.658,149.900,0.139
317.963,,112.620,67.380,1392.000,0.000,1.120,22.600,1.100,0.020,0.060,,112.520,0.805
318.037,58.150,30.000,150.000,2016.000,0.000,1.190,22.400,1.160,0.030,0.060,,29.900,0.590
318.107,62.050,30.000,150.000,2530.000,0.000,1.190,22.400,1.160,0.030,0.060,0.078,29.900,0.470
318.180,68.230,30.000,150.000,2360.000,0.000,0.300,22.300,0.280,0.020,0.010,0.117,29.900,0.127
318.254,0.440,30.000,150.000,4790.000,0.000,0.300,22.300,0.280,0.020,0.010,1.277,29.900,0.063
318.324,,30.000,150.000,2324.000,0.000,0.300,22.300,0.280,0.020,0.010,,29.900,0.129
318.397,6.380,30.000,150.000,684.000,0.000,-0.020,21.800,-0.010,-0.010,0.000,,29.900,-0.029
318.471,52.000,30.000,150.000,2916.000,0.000,-0.020,21.800,-0.010,-0.010,0.000,0.859,29.900,-0.007
318.541,30.000,150.000,1956.000,0.000,,-0.020,21.800,-0.010,-0.010,0.000,0.438,149.900,-inf
318.614,3.660,30.000,150.000,3018.000,0.000,0.030,21.900,0.030,0.010,0.000,0.498,29.900,0.010
318.684,24.000,30.000,150.000,2026.000,0.000,0.030,21.900,0.030,0.010,0.000,0.405,29.900,0.015
318.758,132.430,30.000,150.000,1426.000,0.000,0.880,22.000,0.840,0.040,0.040,2.037,29.900,0.617
318.832,132.800,150.000,30.000,1390.000,0.000,0.880,22.000,0.840,0.040,0.040,0.007,149.900,0.633
318.901,,150.000,30.000,2988.000,0.000,0.880,22.000,0.840,0.040,0.040,,149.900,0.295
318.975,25.370,150.000,30.000,4326.000,0.000,0.660,21.100,0.640,0.020,0.030,,149.900,0.153
319.049,14.000,150.000,30.000,4274.000,0.000,0.660,21.100,0.640,0.020,0.030,0.214,149.900,0.154
319.119,150.000,30.000,6622.000,0.000,,0.210,21.600,0.190,0.020,0.010,2.673,29.900,inf
319.192,0.240,150.000,30.000,3142.000,0.000,0.210,21.600,0.190,0.020,0.010,2.859,149.900,0.067
319.262,,150.000,30.000,4604.000,0.000,0.210,21.600,0.190,0.020,0.010,,149.900,0.046
319.335,78.990,150.000,30.000,6026.000,0.000,0.880,21.400,0.860,0.020,0.040,,149.900,0.146
319.406,34.000,150.000,30.000,6872.000,0.000,0.880,21.400,0.860,0.020,0.040,0.891,149.900,0.128
319.479,63.490,150.000,30.000,6902.000,0.000,0.880,21.400,0.860,0.020,0.040,0.556,149.900,0.127
319.552,0.950,150.000,30.000,6616.000,0.000,1.000,21.800,0.980,0.030,0.050,1.185,149.900,0.151
319.622,,135.220,44.780,3624.000,0.000,1.000,21.800,0.980,0.030,0.050,,135.120,0.276
319.696,57.930,30.000,150.000,1992.000,0.000,0.960,22.400,0.930,0.020,0.050,,29.900,0.482
319.767,59.000,30.000,150.000,5374.000,0.000,0.960,22.400,0.930,0.020,0.050,0.021,29.900,0.179
319.839,67.560,30.000,150.000,4826.000,0.000,0.960,22.400,0.930,0.020,0.050,0.163,29.900,0.199
319.913,0.620,30.000,150.000,2740.000,0.000,0.070,21.900,0.060,0.010,0.000,1.262,29.900,0.026
319.983,,30.000,150.000,1458.000,0.000,0.070,21.900,0.060,0.010,0.000,,29.900,0.048
320.056,95.290,30.000,150.000,2026.000,0.000,0.070,21.900,0.060,0.010,0.000,,29.900,0.035
320.130,60.000,30.000,150.000,2114.000,0.000,0.010,21.100,0.020,-0.010,0.000,0.668,29.900,0.005
320.200,30.000,150.000,2540.000,0.000,,0.010,21.100,0.020,-0.010,0.000,0.595,149.900,inf
320.273,122.930,30.000,150.000,3312.000,0.000,0.060,21.500,0.040,0.020,0.000,1.752,29.900,0.018
320.344,88.000,30.000,150.000,2894.000,0.000,0.060,21.500,0.040,0.020,0.000,0.691,29.900,0.021
320.417,132.250,30.000,150.000,2546.000,0.000,0.060,21.500,0.040,0.020,0.000,0.840,29.900,0.024
320.490,132.890,150.000,30.000,2386.000,0.000,0.760,22.000,0.730,0.030,0.040,0.012,149.900,0.319
320.560,7.000,150.000,30.000,3614.000,0.000,0.760,22.000,0.730,0.030,0.040,2.498,149.900,0.210
320.633,125.940,150.000,30.000,2468.000,0.000,0.560,21.200,0.550,0.010,0.030,2.261,149.900,0.227
320.707,0.890,150.000,30.000,5234.000,0.000,0.560,21.200,0.550,0.010,0.030,2.351,149.900,0.107
320.777,110.090,150.000,30.000,4902.000,0.000,0.560,21.200,0.550,0.010,0.030,2.180,149.900,0.114
320.851,0.190,150.000,30.000,5856.000,0.000,0.210,20.900,0.190,0.020,0.010,2.066,149.900,0.036
320.921,6.000,150.000,30.000,4066.000,0.000,0.210,20.900,0.190,0.020,0.010,0.116,149.900,0.052
