Used Parameters:
Used Foils:,wide_stiff_for_real
Waterspeed:,0.0
Frequency:,0.7
Heave Amplitude:,38
Pitch Amplitude:,20
Camber Amplitude,90
Pitch Phase,0
Camber Phase,0
Turn Rate,0
Test Duration,10

Statistical Evaluation:
Time,Heave_pos,Pitch_right,Pitch_left,Power_consumption,Noise,Fx,Fz,Mx,My,Mz,Inflow_velocity,Angle_of_attack,Efficiency
average,51.349,90.788,500.063,4652.962,0.000,0.668,23.018,0.624,0.044,0.030,1.013,90.688,0.14356446495802028
max,150.000,150.000,9958.000,10472.000,0.000,1.540,23.700,1.420,0.130,0.070,2.971,149.900,inf
min,0.000,30.000,30.000,0.000,0.000,0.010,22.300,0.000,0.010,0.000,0.000,29.900,0.003
std. dev,44.520,59.537,1588.818,2652.601,0.000,0.410,0.370,0.386,0.033,0.019,0.835,59.537,
Complete Data:,,,,,,,,,,,,,
Time,Heave_pos,Pitch_right,Pitch_left,Power_consumption,Noise,Fx,Fz,Mx,My,Mz,Inflow_velocity,Angle_of_attack,Efficiency
134.238,9.000,30.000,150.000,3408.000,0.000,-0.090,23.000,-0.080,-0.010,-0.000,0.953,29.900,-0.026
134.311,64.370,30.000,150.000,2894.000,0.000,-0.090,23.000,-0.080,-0.010,-0.000,1.052,29.900,-0.031
134.385,0.030,30.000,150.000,3372.000,0.000,-0.090,23.000,-0.080,-0.010,-0.000,1.213,29.900,-0.027
134.454,30.000,150.000,1976.000,0.000,,-0.170,23.100,-0.160,-0.010,-0.010,0.597,149.900,-inf
134.528,95.480,30.000,150.000,2900.000,0.000,-0.170,23.100,-0.160,-0.010,-0.010,1.232,29.900,-0.059
134.598,44.000,30.000,150.000,3254.000,0.000,-0.170,23.100,-0.160,-0.010,-0.010,1.028,29.900,-0.052
134.672,117.870,30.000,150.000,5132.000,0.000,-0.250,23.200,-0.220,-0.030,-0.010,1.387,29.900,-0.049
134.745,6.280,30.000,150.000,2986.000,0.000,-0.250,23.200,-0.220,-0.030,-0.010,2.107,29.900,-0.084
134.815,4.000,30.000,150.000,5342.000,0.000,1.300,23.500,1.170,0.130,0.050,0.045,29.900,0.243
134.889,32.980,116.570,63.430,1754.000,0.000,1.300,23.500,1.170,0.130,0.050,0.546,116.470,0.741
134.962,130.750,150.000,30.000,4482.000,0.000,1.300,23.500,1.170,0.130,0.050,1.848,149.900,0.290
135.032,124.850,150.000,30.000,4446.000,0.000,1.090,22.800,1.070,0.020,0.050,0.118,149.900,0.245
